"Threshold","MaxCluster","Singletons"
1e-04,177,192
2e-04,177,181
3e-04,177,164
4e-04,177,142
5e-04,175,126
6e-04,174,108
7e-04,168,88
8e-04,164,80
9e-04,157,69
0.001,145,63
0.0011,139,56
0.0012,129,53
0.0013,126,50
0.0014,116,46
0.0015,106,41
0.0016,97,35
0.0017,91,32
0.0018,85,30
0.0019,73,27
0.002,70,25
0.0021,65,24
0.0022,60,22
0.0023,56,21
0.0024,54,18
0.0025,51,16
0.0026,45,15
0.0027,43,15
0.0028,43,15
0.0029,37,11
0.003,35,10
0.0031,34,10
0.0032,33,10
0.0033,33,10
0.0034,32,10
0.0035,32,10
0.0036,31,10
0.0037,31,10
0.0038,31,9
0.0039,28,8
0.004,24,5
0.0041,22,4
0.0042,22,4
0.0043,22,4
0.0044,22,4
0.0045,20,3
0.0046,20,3
0.0047,20,3
0.0048,20,3
0.0049,20,3
0.005,20,3
0.0051,20,3
0.0052,20,2
0.0053,20,2
0.0054,20,2
0.0055,20,2
0.0056,20,2
0.0057,20,2
0.0058,20,2
0.0059,20,2
0.006,20,2
0.0061,20,2
0.0062,20,2
0.0063,20,2
0.0064,20,2
0.0065,20,2
0.0066,20,2
0.0067,19,2
0.0068,19,2
0.0069,19,2
0.007,19,2
0.0071,19,2
0.0072,19,2
0.0073,19,2
0.0074,19,2
0.0075,19,2
0.0076,19,2
0.0077,19,2
0.0078,19,2
0.0079,19,2
0.008,19,2
0.0081,19,2
0.0082,19,2
0.0083,19,2
0.0084,19,2
0.0085,19,2
0.0086,19,2
0.0087,19,2
0.0088,19,2
0.0089,19,2
0.009,19,2
0.0091,19,2
0.0092,19,2
0.0093,19,2
0.0094,19,2
0.0095,19,2
0.0096,19,2
0.0097,19,2
0.0098,19,2
0.0099,19,2
0.01,19,2
0.0101,19,2
0.0102,19,2
0.0103,19,2
0.0104,19,2
0.0105,19,2
0.0106,19,2
0.0107,19,2
0.0108,19,2
0.0109,19,2
0.011,19,2
0.0111,19,2
0.0112,19,2
0.0113,19,2
0.0114,19,2
0.0115,19,2
0.0116,19,2
0.0117,19,2
0.0118,19,2
0.0119,18,2
0.012,18,2
0.0121,18,2
0.0122,18,2
0.0123,18,2
0.0124,18,2
0.0125,18,2
0.0126,18,2
0.0127,18,2
0.0128,18,2
0.0129,18,2
0.013,18,2
0.0131,18,2
0.0132,18,2
0.0133,18,2
0.0134,18,2
0.0135,18,2
0.0136,18,2
0.0137,18,2
0.0138,18,2
0.0139,18,2
0.014,18,2
0.0141,18,2
0.0142,17,2
0.0143,17,2
0.0144,17,2
0.0145,17,2
0.0146,17,2
0.0147,17,2
0.0148,17,2
0.0149,17,2
0.015,17,2
0.0151,17,2
0.0152,17,2
0.0153,17,2
0.0154,17,2
0.0155,17,2
0.0156,17,2
0.0157,17,2
0.0158,17,2
0.0159,16,2
0.016,16,2
0.0161,16,2
0.0162,16,2
0.0163,16,2
0.0164,16,2
0.0165,16,2
0.0166,16,2
0.0167,16,2
0.0168,16,2
0.0169,16,2
0.017,16,2
0.0171,16,2
0.0172,16,2
0.0173,16,2
0.0174,16,2
0.0175,16,2
0.0176,16,2
0.0177,16,2
0.0178,16,2
0.0179,16,2
0.018,16,2
0.0181,16,2
0.0182,16,2
0.0183,16,2
0.0184,16,2
0.0185,16,2
0.0186,16,2
0.0187,16,2
0.0188,16,2
0.0189,16,2
0.019,16,2
0.0191,16,2
0.0192,16,2
0.0193,16,2
0.0194,16,2
0.0195,16,2
0.0196,16,2
0.0197,16,2
0.0198,16,2
0.0199,16,2
0.02,16,2
0.0201,16,2
0.0202,16,2
0.0203,16,2
0.0204,16,2
0.0205,16,2
0.0206,16,2
0.0207,16,2
0.0208,16,2
0.0209,16,2
0.021,16,2
0.0211,16,2
0.0212,16,2
0.0213,15,2
0.0214,15,2
0.0215,15,2
0.0216,15,2
0.0217,14,2
0.0218,14,2
0.0219,14,2
0.022,14,2
0.0221,14,2
0.0222,14,2
0.0223,14,2
0.0224,14,2
0.0225,14,2
0.0226,14,2
0.0227,14,2
0.0228,14,2
0.0229,14,2
0.023,14,2
0.0231,14,2
0.0232,14,2
0.0233,14,2
0.0234,14,2
0.0235,14,2
0.0236,14,2
0.0237,14,2
0.0238,14,2
0.0239,14,2
0.024,14,2
0.0241,14,2
0.0242,14,2
0.0243,14,2
0.0244,14,2
0.0245,14,2
0.0246,14,2
0.0247,14,2
0.0248,14,2
0.0249,14,2
0.025,14,2
0.0251,14,2
0.0252,14,2
0.0253,14,2
0.0254,14,2
0.0255,14,2
0.0256,14,2
0.0257,14,2
0.0258,14,2
0.0259,14,2
0.026,14,2
0.0261,14,2
0.0262,14,2
0.0263,14,2
0.0264,14,2
0.0265,14,2
0.0266,14,2
0.0267,14,2
0.0268,14,2
0.0269,14,2
0.027,14,2
0.0271,14,2
0.0272,14,2
0.0273,14,2
0.0274,14,2
0.0275,14,2
0.0276,14,2
0.0277,14,2
0.0278,14,2
0.0279,14,2
0.028,14,2
0.0281,14,2
0.0282,14,2
0.0283,14,2
0.0284,14,2
0.0285,14,2
0.0286,14,2
0.0287,14,2
0.0288,14,2
0.0289,14,2
0.029,14,2
