"Threshold","MaxCluster","Singletons"
1e-04,1,1
2e-04,1,1
3e-04,1,2
4e-04,1,2
5e-04,1,2
6e-04,1,4
7e-04,1,4
8e-04,2,2
9e-04,2,2
0.001,2,1
0.0011,2,1
0.0012,2,0
0.0013,2,0
0.0014,2,0
0.0015,2,0
0.0016,2,0
0.0017,2,0
0.0018,2,0
0.0019,2,0
0.002,2,0
0.0021,2,0
0.0022,2,0
0.0023,2,0
0.0024,2,0
0.0025,2,0
0.0026,2,0
0.0027,2,0
0.0028,2,0
0.0029,2,0
0.003,2,0
0.0031,2,0
0.0032,2,0
0.0033,2,0
0.0034,2,0
0.0035,2,0
0.0036,2,0
0.0037,2,0
0.0038,2,0
0.0039,2,0
0.004,2,0
0.0041,2,0
0.0042,2,0
0.0043,2,0
0.0044,2,0
0.0045,2,0
0.0046,2,0
0.0047,2,0
0.0048,2,0
0.0049,2,0
0.005,2,0
0.0051,2,0
0.0052,2,0
0.0053,2,0
0.0054,2,0
0.0055,2,0
0.0056,2,0
0.0057,2,0
0.0058,2,0
0.0059,2,0
0.006,2,0
0.0061,2,0
0.0062,2,0
0.0063,2,0
0.0064,2,0
0.0065,2,0
0.0066,2,0
0.0067,2,0
0.0068,2,0
0.0069,2,0
0.007,2,0
0.0071,2,0
0.0072,2,0
0.0073,2,0
0.0074,2,0
0.0075,2,0
0.0076,2,0
0.0077,2,0
0.0078,2,0
0.0079,2,0
0.008,2,0
0.0081,2,0
0.0082,2,0
0.0083,2,0
0.0084,2,0
0.0085,2,0
0.0086,2,0
0.0087,2,0
0.0088,2,0
0.0089,2,0
0.009,2,0
0.0091,2,0
0.0092,2,0
0.0093,2,0
0.0094,2,0
0.0095,2,0
0.0096,2,0
0.0097,2,0
0.0098,2,0
0.0099,2,0
0.01,2,0
0.0101,2,0
0.0102,2,0
0.0103,2,0
0.0104,2,0
0.0105,2,0
0.0106,2,0
0.0107,2,0
0.0108,2,0
0.0109,2,0
0.011,2,0
0.0111,2,0
0.0112,2,0
0.0113,2,0
0.0114,2,0
0.0115,2,0
0.0116,2,0
0.0117,2,0
0.0118,2,0
0.0119,2,0
0.012,2,0
0.0121,2,0
0.0122,2,0
0.0123,2,0
0.0124,2,2
0.0125,2,2
0.0126,2,3
0.0127,2,4
0.0128,2,7
0.0129,3,7
0.013,3,7
0.0131,3,6
0.0132,3,6
0.0133,5,1
0.0134,4,1
0.0135,3,0
0.0136,3,0
0.0137,3,0
0.0138,3,0
0.0139,3,0
0.014,3,0
0.0141,3,0
0.0142,3,1
0.0143,3,1
0.0144,3,1
0.0145,3,1
0.0146,3,1
0.0147,3,1
0.0148,3,1
0.0149,3,1
0.015,3,1
0.0151,3,1
0.0152,3,1
0.0153,3,1
0.0154,3,1
0.0155,3,1
0.0156,3,1
0.0157,3,1
0.0158,3,1
0.0159,3,1
0.016,3,1
0.0161,3,1
0.0162,3,1
0.0163,3,1
0.0164,3,2
0.0165,3,4
0.0166,4,3
0.0167,4,2
0.0168,4,2
0.0169,4,3
0.017,4,3
0.0171,4,4
0.0172,4,4
0.0173,4,5
0.0174,4,7
0.0175,4,7
0.0176,4,7
0.0177,4,6
0.0178,5,4
0.0179,6,2
0.018,6,2
0.0181,5,2
0.0182,5,2
0.0183,5,1
0.0184,5,1
0.0185,4,1
0.0186,4,1
0.0187,4,1
0.0188,4,1
0.0189,4,2
0.019,4,2
0.0191,4,2
0.0192,4,2
0.0193,4,2
0.0194,4,4
0.0195,4,4
0.0196,4,5
0.0197,4,6
0.0198,4,10
0.0199,4,12
0.02,4,14
0.0201,5,13
0.0202,5,14
0.0203,6,13
0.0204,7,15
0.0205,8,18
0.0206,8,22
0.0207,7,24
0.0208,9,22
0.0209,10,23
0.021,10,26
0.0211,9,30
0.0212,9,35
0.0213,10,37
0.0214,11,37
0.0215,11,37
0.0216,10,38
0.0217,11,42
0.0218,12,39
0.0219,14,37
0.022,13,37
0.0221,12,36
0.0222,12,37
0.0223,13,34
0.0224,13,35
0.0225,13,37
0.0226,15,39
0.0227,19,32
0.0228,19,27
0.0229,19,29
0.023,17,29
0.0231,17,28
0.0232,16,27
0.0233,14,27
0.0234,13,27
0.0235,15,26
0.0236,14,26
0.0237,16,23
0.0238,14,23
0.0239,16,19
0.024,15,15
0.0241,13,15
0.0242,12,14
0.0243,12,14
0.0244,10,14
0.0245,10,13
0.0246,10,13
0.0247,11,9
0.0248,11,9
0.0249,13,5
0.025,12,4
0.0251,12,3
0.0252,12,3
0.0253,10,3
0.0254,10,3
0.0255,10,3
0.0256,9,3
0.0257,9,3
0.0258,9,3
0.0259,9,3
0.026,9,2
0.0261,9,2
0.0262,9,2
0.0263,8,2
0.0264,8,4
0.0265,8,4
0.0266,8,6
0.0267,8,6
0.0268,8,6
0.0269,8,7
0.027,8,7
0.0271,8,8
0.0272,8,8
0.0273,8,8
0.0274,8,8
0.0275,9,6
0.0276,9,6
0.0277,10,4
0.0278,10,4
0.0279,9,3
0.028,9,3
0.0281,9,3
0.0282,9,3
0.0283,9,3
0.0284,9,3
0.0285,9,3
0.0286,9,3
0.0287,9,3
0.0288,9,3
0.0289,9,3
0.029,9,3
0.0291,9,3
0.0292,9,3
0.0293,9,3
0.0294,9,3
0.0295,9,3
0.0296,9,3
0.0297,9,3
0.0298,9,3
0.0299,9,3
0.03,9,3
0.0301,9,3
0.0302,9,3
0.0303,9,3
0.0304,9,3
0.0305,9,3
0.0306,9,3
0.0307,9,3
0.0308,9,3
0.0309,9,3
0.031,9,3
0.0311,9,3
0.0312,9,3
0.0313,9,3
0.0314,9,3
0.0315,9,3
0.0316,9,3
0.0317,9,3
0.0318,9,3
0.0319,9,3
0.032,9,3
0.0321,9,3
0.0322,9,3
0.0323,9,3
0.0324,9,3
0.0325,9,3
0.0326,9,3
0.0327,9,3
0.0328,9,3
0.0329,8,3
0.033,8,3
0.0331,8,3
0.0332,8,3
0.0333,8,3
0.0334,8,3
0.0335,8,3
0.0336,8,3
0.0337,8,3
0.0338,8,3
0.0339,8,3
0.034,8,3
0.0341,8,3
0.0342,8,3
0.0343,8,3
0.0344,8,3
0.0345,8,3
0.0346,8,3
0.0347,8,3
0.0348,8,3
0.0349,8,3
0.035,8,3
0.0351,8,3
0.0352,8,3
0.0353,8,3
0.0354,8,3
0.0355,8,3
0.0356,8,3
0.0357,8,3
0.0358,8,3
0.0359,8,3
0.036,8,3
0.0361,8,3
0.0362,8,3
0.0363,8,3
0.0364,8,3
0.0365,8,3
0.0366,8,3
0.0367,8,3
0.0368,8,3
0.0369,8,3
0.037,8,3
0.0371,8,3
0.0372,8,3
0.0373,8,3
0.0374,8,3
0.0375,8,3
0.0376,8,3
0.0377,8,3
0.0378,8,3
0.0379,8,3
0.038,8,5
0.0381,8,5
0.0382,8,5
0.0383,8,5
0.0384,8,5
0.0385,8,6
0.0386,8,6
0.0387,9,4
0.0388,9,5
0.0389,9,6
0.039,9,5
0.0391,9,7
0.0392,9,10
0.0393,9,15
0.0394,10,26
0.0395,11,32
0.0396,11,41
0.0397,12,45
0.0398,13,46
0.0399,13,48
0.04,15,44
0.0401,19,38
0.0402,20,35
0.0403,20,35
0.0404,21,31
0.0405,20,30
0.0406,18,27
0.0407,18,29
0.0408,16,29
0.0409,16,31
0.041,16,29
0.0411,16,28
0.0412,18,21
0.0413,18,18
0.0414,16,19
0.0415,17,16
0.0416,18,16
0.0417,18,12
0.0418,16,12
0.0419,14,11
0.042,13,11
0.0421,12,11
0.0422,12,11
0.0423,12,13
0.0424,12,13
0.0425,12,12
0.0426,12,13
0.0427,12,12
0.0428,13,9
0.0429,13,8
0.043,13,7
0.0431,13,8
0.0432,12,8
0.0433,12,7
0.0434,13,5
0.0435,12,5
0.0436,11,4
0.0437,10,4
0.0438,10,4
0.0439,10,4
0.044,10,4
0.0441,10,3
0.0442,10,3
0.0443,10,4
0.0444,10,7
0.0445,10,8
0.0446,10,11
0.0447,10,15
0.0448,11,18
0.0449,13,17
0.045,13,20
0.0451,14,20
0.0452,16,17
0.0453,16,19
0.0454,17,16
0.0455,18,12
0.0456,17,12
0.0457,16,10
0.0458,16,9
0.0459,15,11
0.046,16,7
0.0461,16,7
0.0462,16,6
0.0463,16,5
0.0464,13,5
0.0465,13,6
0.0466,13,6
0.0467,14,4
0.0468,14,4
0.0469,13,4
0.047,13,4
0.0471,13,3
0.0472,13,4
0.0473,12,3
0.0474,12,3
0.0475,12,4
0.0476,12,4
0.0477,12,4
0.0478,12,7
0.0479,12,13
0.048,12,19
0.0481,12,22
0.0482,13,26
0.0483,16,26
0.0484,17,27
0.0485,18,26
0.0486,18,30
0.0487,17,36
0.0488,19,37
0.0489,20,39
0.049,21,35
0.0491,21,32
0.0492,21,29
0.0493,23,27
0.0494,21,25
0.0495,22,19
0.0496,23,13
0.0497,23,8
0.0498,20,8
0.0499,19,8
0.05,17,7
0.0501,17,7
0.0502,16,7
0.0503,16,7
0.0504,16,8
0.0505,16,8
0.0506,15,10
0.0507,15,17
0.0508,15,21
0.0509,15,22
0.051,16,20
0.0511,18,17
0.0512,19,15
0.0513,19,14
