"Threshold","MaxCluster","Singletons"
1e-04,1,545
2e-04,2,542
3e-04,14,514
4e-04,29,470
5e-04,38,446
6e-04,57,388
7e-04,72,321
8e-04,75,277
9e-04,82,235
0.001,80,173
0.0011,70,124
0.0012,70,89
0.0013,71,70
0.0014,61,52
0.0015,53,41
0.0016,54,36
0.0017,35,23
0.0018,35,22
0.0019,34,18
0.002,35,16
0.0021,32,15
0.0022,32,15
0.0023,27,9
0.0024,27,9
0.0025,27,9
0.0026,27,9
0.0027,27,9
0.0028,27,9
0.0029,27,9
0.003,27,9
0.0031,27,9
0.0032,27,9
0.0033,27,9
0.0034,27,9
0.0035,27,9
0.0036,27,9
0.0037,27,9
0.0038,27,9
0.0039,27,9
0.004,27,9
0.0041,27,9
0.0042,27,9
0.0043,27,9
0.0044,27,9
0.0045,27,9
0.0046,27,9
0.0047,27,9
0.0048,27,9
0.0049,27,9
0.005,27,9
0.0051,27,9
0.0052,27,9
0.0053,27,9
0.0054,27,9
0.0055,27,9
0.0056,27,9
0.0057,27,9
0.0058,27,9
0.0059,27,9
0.006,27,9
0.0061,27,9
0.0062,27,9
0.0063,27,9
0.0064,27,9
0.0065,27,9
0.0066,27,9
0.0067,27,9
0.0068,27,9
0.0069,27,9
0.007,27,9
0.0071,27,9
0.0072,27,9
0.0073,27,9
0.0074,27,9
0.0075,27,9
0.0076,27,9
0.0077,27,9
0.0078,27,9
0.0079,27,9
0.008,27,9
0.0081,27,9
0.0082,27,9
0.0083,27,9
0.0084,27,9
0.0085,27,9
0.0086,27,9
0.0087,27,9
0.0088,27,9
0.0089,27,9
0.009,27,9
0.0091,27,9
0.0092,27,9
0.0093,27,9
0.0094,27,9
0.0095,27,9
0.0096,27,9
0.0097,27,9
0.0098,27,9
0.0099,27,9
0.01,27,9
0.0101,27,9
0.0102,27,9
0.0103,27,9
0.0104,27,9
0.0105,27,9
0.0106,27,9
0.0107,27,9
0.0108,27,9
0.0109,27,9
0.011,27,9
0.0111,27,9
0.0112,27,9
0.0113,27,9
0.0114,27,9
0.0115,27,9
0.0116,27,9
0.0117,27,9
0.0118,27,9
0.0119,27,9
0.012,27,9
0.0121,27,9
0.0122,27,9
0.0123,27,9
0.0124,27,9
0.0125,27,9
0.0126,27,9
0.0127,27,9
0.0128,27,9
0.0129,27,9
0.013,27,9
0.0131,27,9
0.0132,27,9
0.0133,27,9
0.0134,27,9
0.0135,27,9
0.0136,27,9
0.0137,27,9
0.0138,27,9
0.0139,27,9
0.014,27,9
0.0141,27,9
0.0142,27,9
0.0143,27,9
0.0144,27,9
0.0145,27,9
0.0146,27,9
0.0147,27,9
0.0148,27,9
0.0149,27,9
0.015,27,9
0.0151,27,9
0.0152,27,9
0.0153,27,9
0.0154,27,9
0.0155,27,9
0.0156,27,9
0.0157,27,9
0.0158,27,9
0.0159,27,9
0.016,27,9
0.0161,27,9
0.0162,27,9
0.0163,27,9
0.0164,27,9
0.0165,27,9
0.0166,27,9
0.0167,27,9
0.0168,27,9
0.0169,27,9
0.017,27,9
0.0171,27,9
0.0172,27,9
0.0173,27,9
0.0174,27,9
0.0175,27,9
0.0176,27,9
0.0177,27,9
0.0178,27,9
0.0179,27,9
0.018,27,9
0.0181,27,8
0.0182,27,8
0.0183,27,8
0.0184,27,8
0.0185,27,8
0.0186,27,8
0.0187,27,8
0.0188,27,8
0.0189,27,8
0.019,27,8
0.0191,27,8
0.0192,27,8
0.0193,27,8
0.0194,27,8
0.0195,27,8
0.0196,27,8
0.0197,27,8
0.0198,27,8
0.0199,27,8
0.02,27,8
0.0201,27,8
0.0202,27,8
0.0203,27,8
0.0204,27,8
0.0205,27,8
0.0206,27,8
0.0207,27,8
0.0208,27,8
0.0209,27,8
0.021,27,8
0.0211,27,8
0.0212,27,8
0.0213,27,8
0.0214,27,8
0.0215,27,8
0.0216,27,8
0.0217,27,8
0.0218,27,8
0.0219,27,8
0.022,27,8
0.0221,27,8
0.0222,27,8
0.0223,27,8
0.0224,27,8
0.0225,27,8
0.0226,27,8
0.0227,27,8
0.0228,27,8
0.0229,27,8
0.023,27,8
0.0231,27,8
0.0232,27,8
0.0233,27,8
0.0234,27,8
0.0235,27,8
0.0236,27,8
0.0237,27,8
0.0238,27,8
0.0239,27,8
0.024,27,8
0.0241,27,8
0.0242,26,8
0.0243,26,8
0.0244,26,8
0.0245,26,8
0.0246,26,8
0.0247,26,8
0.0248,26,8
0.0249,26,7
0.025,26,7
0.0251,26,7
0.0252,26,7
0.0253,26,7
0.0254,26,7
0.0255,26,7
0.0256,26,7
0.0257,26,7
0.0258,26,7
0.0259,26,7
0.026,26,7
0.0261,26,7
0.0262,26,7
0.0263,26,7
0.0264,26,7
0.0265,26,7
0.0266,26,7
0.0267,26,7
0.0268,26,7
0.0269,26,7
0.027,26,7
0.0271,26,7
0.0272,26,7
0.0273,26,7
0.0274,26,7
0.0275,26,7
0.0276,26,7
0.0277,26,7
0.0278,26,7
0.0279,26,7
0.028,26,7
0.0281,26,7
0.0282,26,7
0.0283,26,7
0.0284,26,7
0.0285,26,7
0.0286,26,7
0.0287,26,7
0.0288,26,7
0.0289,26,7
0.029,26,7
0.0291,26,7
0.0292,26,7
0.0293,26,7
0.0294,26,7
0.0295,26,7
0.0296,26,7
0.0297,26,7
0.0298,26,7
0.0299,26,7
0.03,26,7
0.0301,26,7
0.0302,26,7
0.0303,26,7
0.0304,26,7
0.0305,26,7
0.0306,26,7
0.0307,26,7
0.0308,26,7
0.0309,26,7
0.031,26,7
0.0311,26,7
