"Threshold","MaxCluster","Singletons"
1e-04,-Inf,547
2e-04,1,545
3e-04,1,544
4e-04,4,538
5e-04,11,522
6e-04,20,502
7e-04,28,484
8e-04,32,470
9e-04,41,451
0.001,49,430
0.0011,61,403
0.0012,81,357
0.0013,94,330
0.0014,95,318
0.0015,104,290
0.0016,105,273
0.0017,114,238
0.0018,117,215
0.0019,126,185
0.002,133,160
0.0021,132,149
0.0022,131,135
0.0023,130,124
0.0024,125,107
0.0025,127,84
0.0026,119,81
0.0027,117,75
0.0028,112,68
0.0029,106,61
0.003,103,56
0.0031,100,53
0.0032,98,50
0.0033,94,46
0.0034,91,42
0.0035,87,41
0.0036,84,37
0.0037,81,36
0.0038,77,36
0.0039,76,34
0.004,70,32
0.0041,70,32
0.0042,69,31
0.0043,68,31
0.0044,67,29
0.0045,64,25
0.0046,61,25
0.0047,59,24
0.0048,59,23
0.0049,58,22
0.005,55,21
0.0051,54,20
0.0052,53,20
0.0053,50,20
0.0054,50,20
0.0055,50,20
0.0056,46,20
0.0057,46,20
0.0058,45,19
0.0059,45,19
0.006,45,19
0.0061,45,19
0.0062,44,16
0.0063,44,15
0.0064,42,14
0.0065,41,14
0.0066,41,14
0.0067,41,14
0.0068,41,14
0.0069,40,14
0.007,37,14
0.0071,37,14
0.0072,36,14
0.0073,36,14
0.0074,36,13
0.0075,36,13
0.0076,36,13
0.0077,36,13
0.0078,36,13
0.0079,36,13
0.008,30,10
0.0081,30,10
0.0082,30,10
0.0083,30,10
0.0084,30,10
0.0085,30,10
0.0086,30,10
0.0087,29,10
0.0088,29,10
0.0089,29,10
0.009,29,10
0.0091,29,10
0.0092,29,10
0.0093,29,10
0.0094,29,10
0.0095,29,10
0.0096,29,10
0.0097,29,10
0.0098,29,10
0.0099,27,9
0.01,27,9
0.0101,27,9
0.0102,27,9
0.0103,27,9
0.0104,27,9
0.0105,27,9
0.0106,27,9
0.0107,27,9
0.0108,27,9
0.0109,27,9
0.011,27,9
0.0111,27,9
0.0112,27,9
0.0113,27,9
0.0114,27,9
0.0115,27,9
0.0116,27,9
0.0117,27,9
0.0118,27,9
0.0119,27,9
0.012,27,9
0.0121,27,9
0.0122,27,9
0.0123,27,9
0.0124,27,9
0.0125,27,9
0.0126,27,9
0.0127,27,9
0.0128,27,9
0.0129,27,9
0.013,27,9
0.0131,27,9
0.0132,27,9
0.0133,27,9
0.0134,27,9
0.0135,27,9
0.0136,27,9
0.0137,27,9
0.0138,27,9
0.0139,27,9
0.014,27,9
0.0141,27,9
0.0142,27,9
0.0143,27,9
0.0144,27,9
0.0145,27,9
0.0146,27,9
0.0147,27,9
0.0148,27,9
0.0149,27,9
0.015,27,9
0.0151,27,9
0.0152,27,9
0.0153,27,9
0.0154,27,9
0.0155,27,9
0.0156,27,9
0.0157,27,9
0.0158,27,9
0.0159,27,9
0.016,27,9
0.0161,27,9
0.0162,27,9
0.0163,27,9
0.0164,27,9
0.0165,27,9
0.0166,27,9
0.0167,27,9
0.0168,27,9
0.0169,27,9
0.017,27,9
0.0171,27,9
0.0172,27,9
0.0173,27,9
0.0174,27,9
0.0175,27,9
0.0176,27,9
0.0177,27,9
0.0178,27,9
0.0179,27,9
0.018,27,9
0.0181,27,9
0.0182,27,9
0.0183,27,9
0.0184,27,9
0.0185,27,9
0.0186,27,9
0.0187,27,9
0.0188,27,9
0.0189,27,9
0.019,27,9
0.0191,27,9
0.0192,27,9
0.0193,27,9
0.0194,27,9
0.0195,27,9
0.0196,27,9
0.0197,27,9
0.0198,27,9
0.0199,27,9
0.02,27,9
0.0201,27,9
0.0202,27,9
0.0203,27,9
0.0204,27,9
0.0205,27,9
0.0206,27,9
0.0207,27,9
0.0208,27,9
0.0209,27,9
0.021,27,9
0.0211,27,9
0.0212,27,9
0.0213,27,9
0.0214,27,9
0.0215,27,9
0.0216,27,9
0.0217,27,9
0.0218,27,9
0.0219,27,9
0.022,27,9
0.0221,27,9
0.0222,27,9
0.0223,27,9
0.0224,27,9
0.0225,27,9
0.0226,27,9
0.0227,27,9
0.0228,27,9
0.0229,27,9
0.023,27,9
0.0231,27,9
0.0232,27,9
0.0233,27,9
0.0234,27,9
0.0235,27,9
0.0236,27,9
0.0237,27,9
0.0238,27,9
0.0239,27,9
0.024,27,9
0.0241,27,9
0.0242,27,9
0.0243,27,9
0.0244,27,9
0.0245,27,9
0.0246,27,9
0.0247,27,9
0.0248,27,9
0.0249,27,9
0.025,27,9
0.0251,27,9
0.0252,27,9
0.0253,27,9
0.0254,27,9
0.0255,27,9
0.0256,27,9
0.0257,27,9
0.0258,27,9
0.0259,27,9
0.026,27,9
0.0261,27,9
0.0262,27,9
0.0263,27,9
0.0264,27,9
0.0265,27,9
0.0266,27,9
0.0267,27,9
0.0268,27,9
0.0269,27,9
0.027,27,9
0.0271,27,9
0.0272,27,9
0.0273,27,9
0.0274,27,9
0.0275,27,9
0.0276,27,9
0.0277,27,9
0.0278,27,9
0.0279,27,9
0.028,27,9
0.0281,27,9
0.0282,27,9
0.0283,27,9
0.0284,27,9
0.0285,27,9
0.0286,27,9
0.0287,27,9
0.0288,27,9
0.0289,27,9
0.029,27,9
0.0291,27,9
0.0292,27,9
0.0293,27,9
0.0294,27,9
0.0295,27,9
0.0296,27,9
0.0297,27,9
0.0298,27,9
0.0299,27,9
0.03,27,9
0.0301,27,9
0.0302,27,9
0.0303,27,9
0.0304,27,9
0.0305,27,9
0.0306,27,9
0.0307,27,9
0.0308,27,9
0.0309,27,9
0.031,27,9
0.0311,27,9
0.0312,27,9
0.0313,27,9
0.0314,27,9
0.0315,27,9
0.0316,27,9
0.0317,27,9
0.0318,27,9
0.0319,27,9
0.032,27,9
0.0321,27,9
0.0322,27,9
0.0323,27,9
0.0324,27,9
0.0325,27,9
0.0326,27,9
0.0327,27,9
0.0328,27,9
0.0329,27,9
0.033,27,9
0.0331,27,9
0.0332,27,9
0.0333,27,9
0.0334,27,9
0.0335,27,9
0.0336,27,9
0.0337,27,9
0.0338,27,9
0.0339,27,9
0.034,27,9
0.0341,27,9
0.0342,27,9
0.0343,27,9
0.0344,27,9
0.0345,27,9
0.0346,27,9
0.0347,27,9
0.0348,27,9
0.0349,27,9
0.035,27,9
0.0351,27,9
0.0352,27,9
0.0353,27,9
0.0354,27,9
0.0355,27,9
0.0356,27,9
0.0357,27,9
0.0358,27,9
0.0359,27,9
0.036,27,9
0.0361,27,9
0.0362,27,8
0.0363,27,8
0.0364,27,8
0.0365,27,8
0.0366,27,8
0.0367,27,8
0.0368,27,8
0.0369,27,8
0.037,27,8
0.0371,27,8
0.0372,27,8
0.0373,27,8
0.0374,27,8
0.0375,27,8
0.0376,27,8
0.0377,27,8
0.0378,27,8
0.0379,27,8
0.038,27,8
0.0381,27,8
0.0382,27,8
0.0383,27,8
0.0384,27,8
0.0385,27,8
0.0386,27,8
0.0387,27,8
0.0388,27,8
0.0389,27,8
0.039,27,8
0.0391,27,8
0.0392,27,8
0.0393,27,8
0.0394,27,8
0.0395,27,8
0.0396,27,8
0.0397,27,8
0.0398,27,8
0.0399,27,8
0.04,27,8
0.0401,27,8
0.0402,27,8
0.0403,27,8
0.0404,27,8
0.0405,27,8
0.0406,27,8
0.0407,27,8
0.0408,27,8
0.0409,27,8
0.041,27,8
0.0411,27,8
0.0412,27,8
0.0413,27,8
0.0414,27,8
0.0415,27,8
0.0416,27,8
0.0417,27,8
0.0418,27,8
0.0419,27,8
0.042,27,8
0.0421,27,8
0.0422,27,8
0.0423,27,8
0.0424,27,8
0.0425,27,8
0.0426,27,8
0.0427,27,8
0.0428,27,8
0.0429,27,8
0.043,27,8
0.0431,27,8
0.0432,27,8
0.0433,27,8
0.0434,27,8
0.0435,27,8
0.0436,27,8
0.0437,27,8
0.0438,27,8
0.0439,27,8
0.044,27,8
0.0441,27,8
0.0442,27,7
0.0443,27,7
0.0444,27,7
0.0445,27,7
0.0446,27,7
0.0447,27,7
0.0448,27,7
0.0449,27,7
0.045,27,7
0.0451,27,7
0.0452,26,7
0.0453,26,7
0.0454,26,7
0.0455,26,7
0.0456,26,7
0.0457,26,7
0.0458,26,7
0.0459,26,7
0.046,26,7
0.0461,26,7
0.0462,26,7
0.0463,26,7
0.0464,26,7
0.0465,26,7
0.0466,26,7
0.0467,26,7
0.0468,26,7
0.0469,26,7
0.047,26,7
0.0471,26,7
0.0472,26,7
0.0473,26,7
0.0474,26,7
0.0475,26,7
0.0476,26,7
0.0477,26,7
0.0478,26,7
0.0479,26,7
0.048,26,7
0.0481,26,7
0.0482,26,7
0.0483,26,7
0.0484,26,7
0.0485,26,7
0.0486,26,7
0.0487,26,7
0.0488,26,7
0.0489,26,7
0.049,26,7
0.0491,26,7
0.0492,26,7
0.0493,25,7
0.0494,25,7
0.0495,25,7
0.0496,25,7
0.0497,25,7
0.0498,25,7
0.0499,25,7
0.05,25,7
0.0501,25,7
0.0502,25,7
0.0503,25,7
0.0504,25,7
0.0505,25,7
0.0506,25,7
0.0507,25,7
0.0508,25,7
0.0509,25,7
0.051,25,7
0.0511,25,7
0.0512,25,7
0.0513,25,7
0.0514,25,7
0.0515,25,7
0.0516,25,7
0.0517,25,7
0.0518,25,7
0.0519,25,7
0.052,25,7
0.0521,25,7
0.0522,25,7
0.0523,25,7
0.0524,25,7
0.0525,25,7
0.0526,25,7
0.0527,25,7
0.0528,25,7
0.0529,25,7
0.053,25,7
0.0531,25,7
0.0532,25,7
0.0533,25,7
0.0534,25,7
0.0535,25,7
0.0536,25,7
0.0537,25,7
0.0538,25,7
0.0539,25,7
0.054,25,7
0.0541,25,7
0.0542,25,7
0.0543,25,7
0.0544,25,7
0.0545,25,7
0.0546,25,7
0.0547,25,7
0.0548,25,7
0.0549,25,7
0.055,25,7
0.0551,25,7
0.0552,25,7
0.0553,25,7
0.0554,25,7
0.0555,25,7
0.0556,25,7
0.0557,25,7
0.0558,25,7
0.0559,25,7
0.056,25,7
0.0561,25,7
0.0562,25,7
0.0563,25,7
0.0564,25,7
0.0565,25,7
0.0566,25,7
0.0567,25,7
0.0568,25,7
0.0569,25,7
0.057,25,7
0.0571,25,7
0.0572,25,7
0.0573,25,7
0.0574,25,7
0.0575,25,7
0.0576,25,7
0.0577,25,7
0.0578,25,7
0.0579,25,7
0.058,25,7
0.0581,25,7
0.0582,25,7
0.0583,25,7
0.0584,25,7
0.0585,25,7
0.0586,25,7
0.0587,25,7
0.0588,25,7
0.0589,25,7
0.059,25,7
0.0591,25,7
0.0592,25,7
0.0593,25,7
0.0594,25,7
0.0595,25,7
0.0596,25,7
0.0597,25,7
0.0598,25,7
0.0599,25,7
0.06,25,7
0.0601,25,7
0.0602,25,7
0.0603,25,7
0.0604,25,7
0.0605,25,7
0.0606,25,7
0.0607,25,7
0.0608,25,7
0.0609,25,7
0.061,25,7
0.0611,25,7
0.0612,25,7
0.0613,25,7
0.0614,25,7
0.0615,25,7
0.0616,25,7
0.0617,25,7
0.0618,25,7
0.0619,25,7
0.062,25,7
0.0621,25,7
0.0622,25,7
0.0623,25,7
0.0624,25,7
0.0625,25,7
0.0626,25,7
0.0627,25,7
0.0628,25,7
0.0629,25,7
0.063,25,7
0.0631,25,7
0.0632,25,7
0.0633,25,7
0.0634,25,7
0.0635,25,7
0.0636,25,7
0.0637,25,7
0.0638,25,7
0.0639,25,7
0.064,25,7
0.0641,25,7
0.0642,25,7
0.0643,25,7
0.0644,25,7
0.0645,25,7
0.0646,25,7
0.0647,25,7
0.0648,25,7
0.0649,25,7
0.065,25,7
0.0651,25,7
0.0652,25,7
0.0653,25,7
0.0654,25,7
0.0655,25,7
0.0656,25,7
0.0657,25,7
0.0658,25,7
0.0659,25,7
0.066,25,7
0.0661,25,7
0.0662,25,7
0.0663,25,7
0.0664,25,7
0.0665,25,7
0.0666,25,7
0.0667,25,7
0.0668,25,7
0.0669,25,7
0.067,25,7
0.0671,25,7
0.0672,25,7
0.0673,25,7
0.0674,25,7
0.0675,25,7
0.0676,25,7
0.0677,25,7
0.0678,25,7
0.0679,25,7
0.068,25,7
0.0681,25,7
0.0682,25,7
0.0683,25,7
0.0684,25,7
0.0685,25,7
0.0686,25,7
0.0687,25,7
0.0688,25,7
0.0689,25,7
0.069,25,7
0.0691,25,7
0.0692,25,7
0.0693,25,7
0.0694,25,7
0.0695,25,7
0.0696,25,7
0.0697,25,7
