"Threshold","MaxCluster","Singletons"
1e-04,-Inf,547
2e-04,1,544
3e-04,1,544
4e-04,4,538
5e-04,11,521
6e-04,20,502
7e-04,28,478
8e-04,31,468
9e-04,40,444
0.001,48,426
0.0011,61,395
0.0012,80,350
0.0013,90,315
0.0014,89,300
0.0015,92,269
0.0016,94,248
0.0017,99,215
0.0018,104,188
0.0019,105,153
0.002,107,123
0.0021,106,106
0.0022,97,89
0.0023,92,74
0.0024,89,62
0.0025,87,51
0.0026,83,46
0.0027,76,44
0.0028,73,44
0.0029,67,41
0.003,58,34
0.0031,54,30
0.0032,49,25
0.0033,47,24
0.0034,45,21
0.0035,42,20
0.0036,37,15
0.0037,36,14
0.0038,35,12
0.0039,34,11
0.004,34,10
0.0041,34,10
0.0042,33,10
0.0043,33,9
0.0044,33,9
0.0045,31,8
0.0046,27,8
0.0047,25,6
0.0048,25,5
0.0049,25,5
0.005,24,5
0.0051,21,5
0.0052,21,4
0.0053,20,3
0.0054,19,3
0.0055,19,3
0.0056,19,3
0.0057,19,3
0.0058,19,3
0.0059,19,3
0.006,18,2
0.0061,18,2
0.0062,18,2
0.0063,18,2
0.0064,18,2
0.0065,18,2
0.0066,18,2
0.0067,18,2
0.0068,18,2
0.0069,18,2
0.007,18,2
0.0071,18,2
0.0072,18,2
0.0073,18,2
0.0074,18,2
0.0075,18,2
0.0076,18,2
0.0077,18,2
0.0078,18,2
0.0079,18,2
0.008,18,2
0.0081,18,2
0.0082,18,2
0.0083,18,2
0.0084,18,2
0.0085,18,2
0.0086,18,2
0.0087,18,2
0.0088,18,2
0.0089,18,2
0.009,18,2
0.0091,18,2
0.0092,18,2
0.0093,18,2
0.0094,18,2
0.0095,18,2
0.0096,18,2
0.0097,18,2
0.0098,18,2
0.0099,18,2
0.01,18,2
0.0101,18,2
0.0102,18,2
0.0103,18,2
0.0104,18,2
0.0105,18,2
0.0106,18,2
0.0107,18,2
0.0108,18,2
0.0109,18,2
0.011,18,2
0.0111,18,2
0.0112,18,2
0.0113,18,2
0.0114,18,2
0.0115,18,2
0.0116,18,2
0.0117,18,2
0.0118,18,2
0.0119,18,2
0.012,18,2
0.0121,18,2
0.0122,18,2
0.0123,18,2
0.0124,18,2
0.0125,18,2
0.0126,18,2
0.0127,18,2
0.0128,18,2
0.0129,18,2
0.013,18,2
0.0131,18,2
0.0132,18,2
0.0133,18,2
0.0134,18,2
0.0135,18,2
0.0136,18,2
0.0137,18,2
0.0138,18,2
0.0139,18,2
0.014,18,2
0.0141,18,2
0.0142,18,2
0.0143,18,2
0.0144,18,2
0.0145,18,2
0.0146,18,2
0.0147,18,2
0.0148,18,2
0.0149,18,2
0.015,18,2
0.0151,18,2
0.0152,18,2
0.0153,18,2
0.0154,18,2
0.0155,18,2
0.0156,18,2
0.0157,18,2
0.0158,18,2
0.0159,18,2
0.016,18,2
0.0161,18,2
0.0162,18,2
0.0163,18,2
0.0164,18,2
0.0165,18,2
0.0166,18,2
0.0167,18,2
0.0168,18,2
0.0169,18,2
0.017,18,2
0.0171,18,2
