"Threshold","MaxCluster","Singletons"
1e-04,2,0
2e-04,2,0
3e-04,2,0
4e-04,2,0
5e-04,2,0
6e-04,2,0
7e-04,2,0
8e-04,2,0
9e-04,2,0
0.001,2,0
0.0011,2,0
0.0012,2,0
0.0013,2,0
0.0014,2,0
0.0015,2,0
0.0016,2,0
0.0017,2,0
0.0018,2,0
0.0019,2,0
0.002,2,0
0.0021,2,0
0.0022,2,0
0.0023,2,0
0.0024,2,0
0.0025,2,0
0.0026,2,0
0.0027,2,0
0.0028,2,0
0.0029,2,0
0.003,2,0
0.0031,2,0
0.0032,2,0
0.0033,2,0
0.0034,2,0
0.0035,2,0
0.0036,2,0
0.0037,2,0
0.0038,2,0
0.0039,2,0
0.004,2,0
0.0041,2,0
0.0042,2,0
0.0043,2,0
0.0044,2,0
0.0045,2,0
0.0046,2,0
0.0047,2,0
0.0048,2,0
0.0049,2,0
0.005,2,0
0.0051,2,0
0.0052,2,0
0.0053,2,0
0.0054,2,0
0.0055,2,0
0.0056,2,0
0.0057,2,0
0.0058,2,0
0.0059,2,0
0.006,2,0
0.0061,4,0
0.0062,4,0
0.0063,4,0
0.0064,4,0
0.0065,4,0
0.0066,4,0
0.0067,4,0
0.0068,4,0
0.0069,4,0
0.007,4,0
0.0071,4,0
0.0072,4,0
0.0073,4,0
0.0074,4,0
0.0075,4,0
0.0076,4,0
0.0077,4,0
0.0078,4,0
0.0079,4,0
0.008,4,0
0.0081,4,0
0.0082,4,0
0.0083,4,0
0.0084,4,0
0.0085,4,0
0.0086,4,0
0.0087,4,0
0.0088,4,0
0.0089,4,0
0.009,4,0
0.0091,4,0
0.0092,4,0
0.0093,4,0
0.0094,4,0
0.0095,4,0
0.0096,4,0
0.0097,4,0
0.0098,4,0
0.0099,4,0
0.01,4,0
0.0101,4,0
0.0102,4,0
0.0103,4,0
0.0104,4,0
0.0105,4,0
0.0106,4,0
0.0107,4,0
0.0108,4,0
0.0109,4,0
0.011,4,0
0.0111,4,0
0.0112,4,0
0.0113,4,0
0.0114,4,0
0.0115,4,0
0.0116,4,0
0.0117,4,0
0.0118,4,0
0.0119,4,0
0.012,4,0
0.0121,4,0
0.0122,4,0
0.0123,4,0
0.0124,4,0
0.0125,4,0
0.0126,4,0
0.0127,4,0
0.0128,4,0
0.0129,4,0
0.013,4,0
0.0131,4,1
0.0132,4,1
0.0133,4,1
0.0134,4,1
0.0135,4,1
0.0136,4,1
0.0137,4,1
0.0138,4,1
0.0139,4,1
0.014,4,1
0.0141,4,1
0.0142,4,1
0.0143,4,1
0.0144,4,1
0.0145,4,1
0.0146,4,1
0.0147,4,1
0.0148,4,1
0.0149,4,1
0.015,4,1
0.0151,4,1
0.0152,4,1
0.0153,4,1
0.0154,4,1
0.0155,4,1
0.0156,4,1
0.0157,4,1
0.0158,4,1
0.0159,4,1
0.016,4,1
0.0161,5,1
0.0162,5,1
0.0163,5,1
0.0164,5,1
0.0165,5,1
0.0166,5,1
0.0167,5,1
0.0168,5,1
0.0169,5,1
0.017,5,1
0.0171,5,1
0.0172,5,1
0.0173,5,1
0.0174,5,1
0.0175,5,1
0.0176,5,1
0.0177,5,1
0.0178,5,1
0.0179,5,1
0.018,5,1
0.0181,5,1
0.0182,5,1
0.0183,5,1
0.0184,6,1
0.0185,6,1
0.0186,6,1
0.0187,6,1
0.0188,6,1
0.0189,6,1
0.019,6,1
0.0191,6,1
0.0192,6,1
0.0193,6,1
0.0194,6,1
0.0195,6,1
0.0196,6,1
0.0197,6,1
0.0198,6,1
0.0199,6,1
0.02,6,1
0.0201,6,1
0.0202,6,1
0.0203,6,1
0.0204,6,1
0.0205,6,1
0.0206,6,1
0.0207,6,1
0.0208,6,1
0.0209,6,1
0.021,6,1
0.0211,6,1
0.0212,6,1
0.0213,6,1
0.0214,6,1
0.0215,6,1
0.0216,6,1
0.0217,6,2
0.0218,6,2
0.0219,6,2
0.022,6,2
0.0221,6,2
0.0222,6,2
0.0223,6,2
0.0224,6,2
0.0225,6,2
0.0226,6,2
0.0227,6,2
0.0228,6,2
0.0229,6,2
0.023,6,2
0.0231,6,2
0.0232,6,2
0.0233,6,2
0.0234,6,2
0.0235,6,2
0.0236,6,2
0.0237,6,2
0.0238,6,2
0.0239,6,2
0.024,6,2
0.0241,6,2
0.0242,6,2
0.0243,6,2
0.0244,6,2
0.0245,6,2
0.0246,6,2
0.0247,6,2
0.0248,6,2
0.0249,6,2
0.025,6,2
0.0251,6,2
0.0252,6,2
0.0253,6,2
0.0254,6,2
0.0255,7,2
0.0256,7,2
0.0257,7,2
0.0258,7,2
0.0259,7,2
0.026,7,2
0.0261,7,2
0.0262,7,2
0.0263,7,2
0.0264,7,2
0.0265,7,2
0.0266,7,2
0.0267,7,2
0.0268,7,2
0.0269,7,2
0.027,7,2
0.0271,7,2
0.0272,7,2
0.0273,7,2
0.0274,7,2
0.0275,7,2
0.0276,7,2
0.0277,7,2
0.0278,7,2
0.0279,7,2
0.028,7,2
0.0281,7,2
0.0282,7,2
0.0283,7,2
0.0284,7,2
0.0285,7,2
0.0286,8,2
0.0287,8,2
0.0288,8,2
0.0289,8,2
0.029,8,2
0.0291,8,2
0.0292,8,2
0.0293,8,2
0.0294,8,2
0.0295,8,2
0.0296,8,2
0.0297,8,2
0.0298,8,2
0.0299,8,2
0.03,8,2
0.0301,8,2
0.0302,8,2
0.0303,9,2
0.0304,9,2
0.0305,9,2
0.0306,9,2
0.0307,9,2
0.0308,9,2
0.0309,10,2
0.031,10,2
0.0311,10,2
0.0312,10,2
0.0313,10,2
0.0314,10,2
0.0315,10,2
0.0316,10,2
0.0317,10,2
0.0318,10,2
0.0319,10,2
0.032,10,2
0.0321,10,2
0.0322,10,2
0.0323,10,2
0.0324,10,2
0.0325,10,2
0.0326,10,2
0.0327,10,2
0.0328,10,2
0.0329,10,2
0.033,10,2
0.0331,10,2
0.0332,10,2
0.0333,10,2
0.0334,10,2
0.0335,10,2
0.0336,10,2
0.0337,10,2
0.0338,10,2
0.0339,10,2
0.034,10,2
0.0341,10,2
0.0342,10,2
0.0343,10,2
0.0344,10,2
0.0345,10,2
0.0346,10,2
0.0347,11,2
0.0348,11,2
0.0349,11,2
0.035,11,2
0.0351,11,2
0.0352,11,2
0.0353,11,2
0.0354,11,2
0.0355,11,2
0.0356,11,2
0.0357,11,2
0.0358,11,2
0.0359,12,2
0.036,12,2
0.0361,12,2
0.0362,12,2
0.0363,12,2
0.0364,13,2
0.0365,13,2
0.0366,13,2
0.0367,13,2
0.0368,13,2
0.0369,13,2
0.037,13,2
0.0371,13,2
0.0372,13,2
0.0373,13,2
0.0374,13,2
0.0375,13,2
0.0376,13,2
0.0377,13,2
0.0378,13,2
0.0379,13,2
0.038,13,2
0.0381,13,2
0.0382,13,2
0.0383,13,2
0.0384,13,3
0.0385,13,3
0.0386,13,3
0.0387,13,3
0.0388,13,3
0.0389,13,3
0.039,13,3
0.0391,13,3
0.0392,13,3
0.0393,13,3
0.0394,13,3
0.0395,13,3
0.0396,13,3
0.0397,13,3
0.0398,13,3
0.0399,13,3
0.04,13,3
0.0401,13,3
0.0402,13,3
0.0403,13,3
0.0404,13,3
0.0405,13,3
0.0406,13,3
0.0407,13,3
0.0408,13,4
0.0409,13,4
0.041,13,4
0.0411,13,4
0.0412,13,4
0.0413,13,4
0.0414,13,4
0.0415,13,4
0.0416,13,4
0.0417,13,4
0.0418,13,4
0.0419,13,4
0.042,13,4
0.0421,14,4
0.0422,14,4
0.0423,14,4
0.0424,14,5
0.0425,14,5
0.0426,15,5
0.0427,15,5
0.0428,15,5
0.0429,15,5
0.043,15,5
0.0431,15,5
0.0432,15,5
0.0433,15,5
0.0434,15,5
0.0435,15,5
0.0436,16,5
0.0437,16,5
0.0438,17,5
0.0439,17,5
0.044,17,5
0.0441,17,5
0.0442,17,5
0.0443,17,5
0.0444,17,5
0.0445,17,5
0.0446,17,5
0.0447,17,5
0.0448,17,5
0.0449,17,5
0.045,17,5
0.0451,17,5
0.0452,17,5
0.0453,17,5
0.0454,17,5
0.0455,17,5
0.0456,17,5
0.0457,17,5
0.0458,17,5
0.0459,17,5
0.046,17,5
0.0461,17,5
0.0462,17,5
0.0463,17,5
0.0464,17,5
0.0465,17,5
0.0466,18,5
0.0467,18,5
0.0468,18,5
0.0469,18,5
0.047,18,5
0.0471,18,5
0.0472,18,5
0.0473,18,5
0.0474,18,5
0.0475,18,5
0.0476,18,5
0.0477,18,6
0.0478,18,6
0.0479,18,6
0.048,18,6
0.0481,18,6
0.0482,18,6
0.0483,18,6
0.0484,18,6
0.0485,18,6
0.0486,18,6
0.0487,18,6
0.0488,19,6
0.0489,19,6
0.049,19,6
0.0491,19,6
0.0492,19,6
0.0493,19,6
0.0494,19,6
0.0495,19,6
0.0496,19,6
0.0497,19,6
0.0498,19,6
0.0499,19,6
0.05,19,6
0.0501,19,6
0.0502,19,6
0.0503,19,6
0.0504,19,6
0.0505,19,6
0.0506,19,6
0.0507,20,6
0.0508,20,6
0.0509,20,6
0.051,20,6
0.0511,20,6
0.0512,20,6
0.0513,20,6
0.0514,20,6
0.0515,20,6
0.0516,20,6
0.0517,20,6
0.0518,20,6
0.0519,20,6
0.052,20,6
0.0521,20,6
0.0522,20,6
0.0523,20,6
0.0524,20,6
0.0525,20,6
0.0526,20,6
0.0527,20,6
0.0528,20,6
0.0529,20,6
0.053,20,6
0.0531,20,6
0.0532,20,6
0.0533,20,6
0.0534,20,6
0.0535,20,6
0.0536,20,6
0.0537,20,6
0.0538,20,6
0.0539,20,6
0.054,20,6
0.0541,20,6
0.0542,20,6
0.0543,20,6
0.0544,20,6
0.0545,20,6
0.0546,20,6
0.0547,20,6
0.0548,20,6
0.0549,20,6
0.055,20,6
0.0551,20,6
0.0552,20,6
0.0553,20,6
0.0554,20,6
0.0555,20,6
0.0556,20,6
0.0557,20,6
0.0558,20,6
0.0559,20,6
0.056,20,6
0.0561,20,6
0.0562,20,6
0.0563,20,6
0.0564,20,6
0.0565,20,6
0.0566,20,6
0.0567,20,6
0.0568,20,6
0.0569,20,6
0.057,20,6
0.0571,20,6
0.0572,20,6
0.0573,20,6
0.0574,20,6
0.0575,20,6
0.0576,20,6
0.0577,20,6
0.0578,21,6
0.0579,21,6
0.058,21,6
0.0581,21,6
0.0582,21,6
0.0583,21,6
0.0584,21,6
0.0585,21,6
0.0586,21,6
0.0587,21,6
0.0588,22,6
0.0589,22,6
0.059,22,6
0.0591,22,6
0.0592,22,6
0.0593,22,6
0.0594,22,6
0.0595,22,6
0.0596,22,6
0.0597,22,6
0.0598,22,6
0.0599,22,6
0.06,22,6
0.0601,22,6
0.0602,22,6
0.0603,22,6
0.0604,22,6
0.0605,22,6
0.0606,22,6
0.0607,22,6
0.0608,22,6
0.0609,22,6
0.061,22,6
0.0611,22,6
0.0612,22,6
0.0613,22,6
0.0614,22,6
0.0615,22,6
0.0616,22,6
0.0617,22,6
0.0618,22,6
0.0619,22,6
0.062,22,6
0.0621,22,6
0.0622,22,6
0.0623,22,6
0.0624,22,6
0.0625,22,6
0.0626,22,6
0.0627,22,6
0.0628,22,6
0.0629,22,6
0.063,22,6
0.0631,22,6
0.0632,22,6
0.0633,22,6
0.0634,22,6
0.0635,22,6
0.0636,22,6
0.0637,22,6
0.0638,22,6
0.0639,22,6
0.064,22,6
0.0641,22,6
0.0642,22,6
0.0643,22,6
0.0644,22,6
0.0645,22,6
0.0646,22,6
0.0647,22,6
0.0648,22,6
0.0649,22,6
0.065,22,6
0.0651,22,6
0.0652,22,6
0.0653,22,6
0.0654,22,6
0.0655,22,6
0.0656,22,6
0.0657,22,6
0.0658,22,6
0.0659,22,6
0.066,22,6
0.0661,22,6
0.0662,22,6
0.0663,22,6
0.0664,22,6
0.0665,22,7
0.0666,22,7
0.0667,22,7
0.0668,22,7
0.0669,22,7
0.067,22,7
0.0671,22,7
0.0672,22,7
0.0673,22,7
0.0674,22,7
0.0675,22,7
0.0676,22,7
0.0677,22,7
0.0678,22,7
0.0679,22,7
0.068,22,7
0.0681,22,7
0.0682,22,7
0.0683,23,7
0.0684,23,7
0.0685,23,7
0.0686,23,7
0.0687,23,7
0.0688,23,7
0.0689,23,7
0.069,23,7
0.0691,23,7
0.0692,23,7
0.0693,23,7
0.0694,23,7
0.0695,23,7
0.0696,23,8
0.0697,23,8
0.0698,23,8
0.0699,23,8
0.07,23,8
0.0701,23,8
0.0702,23,8
0.0703,23,8
0.0704,23,8
0.0705,22,10
0.0706,22,10
0.0707,22,10
0.0708,22,10
0.0709,22,10
0.071,22,10
0.0711,22,10
0.0712,22,10
0.0713,22,10
0.0714,23,8
0.0715,23,8
0.0716,23,8
0.0717,23,8
0.0718,23,8
0.0719,23,8
0.072,23,7
0.0721,23,7
0.0722,23,7
0.0723,23,7
0.0724,23,7
0.0725,23,7
0.0726,23,7
0.0727,23,7
0.0728,23,7
0.0729,23,7
0.073,23,7
0.0731,23,7
0.0732,23,7
0.0733,23,7
0.0734,23,7
0.0735,23,7
0.0736,23,7
0.0737,23,7
0.0738,23,7
0.0739,23,7
0.074,23,7
0.0741,23,7
0.0742,23,7
0.0743,23,7
0.0744,23,7
0.0745,23,7
0.0746,23,7
0.0747,23,7
0.0748,23,7
0.0749,23,7
0.075,23,7
0.0751,23,7
0.0752,23,7
0.0753,23,7
0.0754,23,7
0.0755,23,7
0.0756,23,7
0.0757,23,7
0.0758,23,7
0.0759,23,7
0.076,23,7
0.0761,23,7
0.0762,23,7
0.0763,23,7
0.0764,23,7
0.0765,23,7
0.0766,23,7
0.0767,23,7
0.0768,23,7
0.0769,23,7
0.077,23,7
0.0771,23,7
0.0772,23,7
0.0773,23,7
0.0774,23,7
0.0775,23,7
0.0776,23,7
0.0777,23,7
0.0778,23,7
0.0779,23,7
0.078,23,7
0.0781,23,7
0.0782,23,7
0.0783,23,7
0.0784,23,7
0.0785,23,7
0.0786,23,7
0.0787,23,7
0.0788,23,7
0.0789,23,7
0.079,23,7
0.0791,23,7
0.0792,23,7
0.0793,23,7
0.0794,23,7
0.0795,23,7
0.0796,23,7
0.0797,23,7
0.0798,23,7
0.0799,23,7
0.08,23,7
0.0801,23,7
0.0802,23,7
0.0803,23,7
0.0804,23,7
0.0805,23,7
0.0806,23,7
0.0807,23,7
0.0808,23,7
0.0809,23,7
0.081,23,7
0.0811,23,7
0.0812,23,7
0.0813,23,7
0.0814,23,7
0.0815,23,7
0.0816,24,7
0.0817,24,7
0.0818,24,7
0.0819,24,7
0.082,24,7
0.0821,24,7
0.0822,24,7
0.0823,24,7
0.0824,24,7
0.0825,24,7
0.0826,24,7
0.0827,24,7
0.0828,24,7
0.0829,25,7
0.083,24,9
0.0831,24,9
0.0832,24,10
0.0833,25,10
0.0834,25,12
0.0835,25,12
0.0836,24,14
0.0837,24,14
0.0838,25,15
0.0839,25,15
0.084,24,17
0.0841,24,15
0.0842,24,11
0.0843,24,9
0.0844,24,8
0.0845,24,8
0.0846,24,7
0.0847,24,6
0.0848,24,6
0.0849,24,6
0.085,24,6
0.0851,24,6
0.0852,24,6
0.0853,24,6
0.0854,24,6
0.0855,24,6
0.0856,24,6
0.0857,24,6
0.0858,25,6
0.0859,26,6
0.086,26,7
0.0861,26,8
0.0862,26,8
0.0863,26,9
0.0864,26,9
0.0865,25,11
0.0866,26,11
0.0867,26,11
0.0868,25,13
0.0869,25,12
0.087,25,12
0.0871,26,10
0.0872,26,11
0.0873,26,12
0.0874,26,12
0.0875,27,10
0.0876,28,8
0.0877,29,10
0.0878,30,13
0.0879,31,14
0.088,30,18
0.0881,29,26
0.0882,28,32
0.0883,28,31
0.0884,29,30
0.0885,33,33
0.0886,33,34
0.0887,33,39
0.0888,29,48
0.0889,27,49
0.089,24,52
0.0891,23,47
0.0892,23,37
0.0893,23,30
0.0894,23,22
0.0895,23,15
0.0896,23,9
0.0897,22,9
0.0898,22,9
0.0899,22,9
0.09,22,10
0.0901,22,11
0.0902,21,12
0.0903,21,9
0.0904,21,9
0.0905,21,7
0.0906,21,7
0.0907,21,7
0.0908,21,7
0.0909,21,6
0.091,21,6
0.0911,21,6
0.0912,21,6
0.0913,21,6
0.0914,21,6
0.0915,21,6
0.0916,21,6
0.0917,21,6
0.0918,21,6
0.0919,21,6
0.092,21,6
0.0921,21,6
0.0922,21,6
0.0923,21,6
0.0924,21,6
0.0925,21,6
0.0926,21,6
0.0927,22,7
0.0928,22,7
0.0929,23,7
0.093,23,7
0.0931,24,7
0.0932,24,7
0.0933,24,8
0.0934,24,8
0.0935,24,9
0.0936,23,11
0.0937,23,11
0.0938,23,10
0.0939,23,11
0.094,23,11
0.0941,23,11
0.0942,24,13
0.0943,24,18
0.0944,22,22
