"Threshold","MaxCluster","Singletons"
1e-04,-Inf,547
2e-04,1,545
3e-04,1,544
4e-04,4,538
5e-04,11,524
6e-04,21,504
7e-04,30,485
8e-04,38,467
9e-04,44,453
0.001,51,437
0.0011,65,406
0.0012,85,363
0.0013,100,329
0.0014,105,317
0.0015,114,296
0.0016,122,278
0.0017,139,242
0.0018,151,214
0.0019,164,183
0.002,175,154
0.0021,179,137
0.0022,182,124
0.0023,186,110
0.0024,192,92
0.0025,199,71
0.0026,199,62
0.0027,195,56
0.0028,195,50
0.0029,192,44
0.003,192,38
0.0031,188,35
0.0032,186,30
0.0033,181,28
0.0034,180,23
0.0035,177,21
0.0036,171,24
0.0037,169,23
0.0038,165,21
0.0039,164,18
0.004,163,16
0.0041,159,17
0.0042,154,19
0.0043,152,20
0.0044,149,17
0.0045,145,16
0.0046,142,18
0.0047,139,17
0.0048,138,15
0.0049,137,14
0.005,136,12
0.0051,135,11
0.0052,132,10
0.0053,130,10
0.0054,126,9
0.0055,126,9
0.0056,124,9
0.0057,122,10
0.0058,119,11
0.0059,116,11
0.006,116,11
0.0061,113,12
0.0062,113,11
0.0063,112,11
0.0064,112,10
0.0065,109,10
0.0066,107,10
0.0067,106,9
0.0068,103,9
0.0069,101,9
0.007,101,9
0.0071,99,9
0.0072,98,9
0.0073,98,9
0.0074,97,10
0.0075,96,9
0.0076,95,9
0.0077,95,9
0.0078,94,9
0.0079,93,9
0.008,89,9
0.0081,88,10
0.0082,87,10
0.0083,85,9
0.0084,84,10
0.0085,83,11
0.0086,82,11
0.0087,81,11
0.0088,81,11
0.0089,79,10
0.009,78,10
0.0091,78,10
0.0092,76,10
0.0093,75,10
0.0094,75,10
0.0095,75,10
0.0096,75,9
0.0097,75,9
0.0098,75,9
0.0099,75,9
0.01,74,10
0.0101,74,9
0.0102,74,9
0.0103,71,9
0.0104,70,9
0.0105,69,9
0.0106,69,9
0.0107,69,9
0.0108,69,9
0.0109,69,9
0.011,69,9
0.0111,69,9
0.0112,68,9
0.0113,67,9
0.0114,67,9
0.0115,65,10
0.0116,65,10
0.0117,64,10
0.0118,63,10
0.0119,63,10
0.012,63,10
0.0121,63,9
0.0122,63,9
0.0123,63,9
0.0124,63,9
0.0125,62,9
0.0126,61,9
0.0127,61,9
0.0128,61,9
0.0129,61,9
0.013,61,9
0.0131,60,9
0.0132,60,9
0.0133,60,9
0.0134,60,9
0.0135,60,9
0.0136,60,9
0.0137,60,9
0.0138,60,9
0.0139,60,9
0.014,58,9
0.0141,58,9
0.0142,58,9
0.0143,57,9
0.0144,57,9
0.0145,56,9
0.0146,56,9
0.0147,55,9
0.0148,55,9
0.0149,55,9
0.015,55,9
0.0151,54,9
0.0152,53,9
0.0153,53,9
0.0154,52,9
0.0155,52,9
0.0156,52,9
0.0157,51,9
0.0158,51,9
0.0159,51,9
0.016,51,9
0.0161,50,10
0.0162,50,10
0.0163,50,10
0.0164,50,10
0.0165,50,10
0.0166,49,10
0.0167,49,10
0.0168,49,10
0.0169,49,10
0.017,49,10
0.0171,48,9
0.0172,48,9
0.0173,48,9
0.0174,48,9
0.0175,48,9
0.0176,48,9
0.0177,48,9
0.0178,48,9
0.0179,48,9
0.018,48,9
0.0181,48,9
0.0182,48,9
0.0183,48,9
0.0184,47,9
0.0185,47,9
0.0186,47,9
0.0187,47,9
0.0188,47,9
0.0189,47,9
0.019,47,9
0.0191,47,9
0.0192,46,9
0.0193,45,10
0.0194,45,10
0.0195,45,10
0.0196,45,9
0.0197,45,9
0.0198,45,9
0.0199,45,9
0.02,45,9
0.0201,45,9
0.0202,45,9
0.0203,45,9
0.0204,45,9
0.0205,45,9
0.0206,45,9
0.0207,45,9
0.0208,45,9
0.0209,45,9
0.021,45,9
0.0211,45,9
0.0212,45,9
0.0213,45,9
0.0214,44,9
0.0215,44,9
0.0216,44,9
0.0217,44,9
0.0218,43,9
0.0219,43,9
0.022,43,9
0.0221,43,9
0.0222,43,9
0.0223,43,9
0.0224,43,9
0.0225,43,9
0.0226,43,9
0.0227,43,9
0.0228,42,9
0.0229,42,9
0.023,42,9
0.0231,42,9
0.0232,41,9
0.0233,41,9
0.0234,41,9
0.0235,41,9
0.0236,41,9
0.0237,41,9
0.0238,41,9
0.0239,41,9
0.024,41,9
0.0241,41,9
0.0242,41,9
0.0243,41,9
0.0244,41,9
0.0245,41,9
0.0246,41,9
0.0247,41,9
0.0248,41,9
0.0249,41,9
0.025,40,9
0.0251,40,9
0.0252,40,9
0.0253,40,9
0.0254,40,9
0.0255,40,9
0.0256,40,9
0.0257,40,9
0.0258,40,9
0.0259,40,9
0.026,40,9
0.0261,40,9
0.0262,40,9
0.0263,40,9
0.0264,40,9
0.0265,40,9
0.0266,39,10
0.0267,39,10
0.0268,39,10
0.0269,39,10
0.027,39,10
0.0271,39,10
0.0272,39,10
0.0273,39,10
0.0274,39,10
0.0275,39,10
0.0276,39,10
0.0277,39,10
0.0278,39,10
0.0279,39,10
0.028,39,9
0.0281,39,9
0.0282,38,9
0.0283,38,9
0.0284,38,9
0.0285,38,9
0.0286,38,9
0.0287,38,9
0.0288,37,10
0.0289,37,10
0.029,37,10
0.0291,37,10
0.0292,37,10
0.0293,36,10
0.0294,36,9
0.0295,36,9
0.0296,36,9
0.0297,36,9
0.0298,36,9
0.0299,36,9
0.03,36,9
0.0301,36,9
0.0302,36,9
0.0303,36,9
0.0304,36,9
0.0305,36,9
0.0306,36,9
0.0307,36,9
0.0308,36,9
0.0309,36,9
0.031,36,9
0.0311,36,9
0.0312,36,9
0.0313,36,9
0.0314,36,9
0.0315,36,9
0.0316,36,9
0.0317,36,9
0.0318,36,9
0.0319,36,9
0.032,36,9
0.0321,36,9
0.0322,36,9
0.0323,36,9
0.0324,36,9
0.0325,36,9
0.0326,36,9
0.0327,36,9
0.0328,36,9
0.0329,36,9
0.033,36,9
0.0331,36,9
0.0332,36,9
0.0333,36,9
0.0334,36,9
0.0335,36,9
0.0336,36,9
0.0337,36,9
0.0338,36,9
0.0339,36,9
0.034,36,9
0.0341,36,9
0.0342,36,9
0.0343,36,9
0.0344,36,9
0.0345,36,9
0.0346,36,9
0.0347,36,9
0.0348,36,9
0.0349,36,9
0.035,36,9
0.0351,36,9
0.0352,35,9
0.0353,35,9
0.0354,35,9
0.0355,35,9
0.0356,35,9
0.0357,35,9
0.0358,35,9
0.0359,35,9
0.036,35,9
0.0361,35,9
0.0362,35,9
0.0363,35,9
0.0364,35,9
0.0365,35,9
0.0366,35,9
0.0367,35,9
0.0368,35,9
0.0369,35,9
0.037,35,9
0.0371,35,9
0.0372,35,9
0.0373,35,9
0.0374,35,9
0.0375,35,9
0.0376,35,9
0.0377,35,9
0.0378,35,9
0.0379,35,9
0.038,35,9
0.0381,35,9
0.0382,35,9
0.0383,35,9
0.0384,35,9
0.0385,35,9
0.0386,35,9
0.0387,35,9
0.0388,35,9
0.0389,35,9
0.039,35,9
0.0391,35,9
0.0392,35,9
0.0393,35,9
0.0394,35,9
0.0395,35,9
0.0396,35,9
0.0397,35,9
0.0398,35,9
0.0399,35,9
0.04,34,8
0.0401,33,8
0.0402,33,8
0.0403,33,8
0.0404,33,8
0.0405,33,8
0.0406,33,8
0.0407,33,8
0.0408,33,8
0.0409,33,8
0.041,33,8
0.0411,33,8
0.0412,33,8
0.0413,33,8
0.0414,33,8
0.0415,33,8
0.0416,33,8
0.0417,33,8
0.0418,33,8
0.0419,33,8
0.042,33,8
0.0421,33,8
0.0422,33,8
0.0423,33,8
0.0424,33,8
0.0425,33,8
0.0426,33,8
0.0427,33,8
0.0428,33,8
0.0429,33,8
0.043,33,8
0.0431,33,8
0.0432,33,8
0.0433,33,8
0.0434,33,8
0.0435,32,8
0.0436,32,8
0.0437,32,8
0.0438,32,8
0.0439,32,8
0.044,32,8
0.0441,32,8
0.0442,32,8
0.0443,32,8
0.0444,32,8
0.0445,32,8
0.0446,32,8
0.0447,32,8
0.0448,32,8
0.0449,32,8
0.045,32,8
0.0451,32,8
0.0452,32,8
0.0453,32,8
0.0454,32,8
0.0455,32,8
0.0456,32,8
0.0457,32,8
0.0458,32,8
0.0459,32,8
0.046,32,8
0.0461,32,8
0.0462,32,8
0.0463,32,8
0.0464,32,8
0.0465,32,8
0.0466,32,8
0.0467,32,8
0.0468,32,8
0.0469,32,8
0.047,32,8
0.0471,32,8
0.0472,32,8
0.0473,32,8
0.0474,32,8
0.0475,32,8
0.0476,32,8
0.0477,32,8
0.0478,32,8
0.0479,32,8
0.048,32,8
0.0481,32,8
0.0482,32,8
0.0483,32,8
0.0484,32,8
0.0485,32,8
0.0486,32,8
0.0487,32,8
0.0488,32,8
0.0489,32,8
0.049,32,8
0.0491,32,8
0.0492,32,8
0.0493,32,8
0.0494,32,8
0.0495,32,8
0.0496,32,8
0.0497,32,8
0.0498,32,8
0.0499,32,8
0.05,32,8
0.0501,32,8
0.0502,32,8
0.0503,32,8
0.0504,32,8
0.0505,32,8
0.0506,32,8
0.0507,32,8
0.0508,32,8
0.0509,32,8
0.051,32,8
0.0511,32,8
0.0512,32,8
0.0513,32,8
0.0514,32,8
0.0515,32,8
0.0516,31,9
0.0517,31,9
0.0518,31,9
0.0519,31,9
0.052,31,9
0.0521,31,9
0.0522,31,9
0.0523,31,9
0.0524,31,9
0.0525,31,9
0.0526,31,9
0.0527,31,9
0.0528,31,9
0.0529,31,9
0.053,31,9
0.0531,31,9
0.0532,31,9
0.0533,31,8
0.0534,31,8
0.0535,31,8
0.0536,31,8
0.0537,31,8
0.0538,31,8
0.0539,31,8
0.054,31,8
0.0541,31,8
0.0542,31,8
0.0543,31,8
0.0544,31,8
0.0545,31,8
0.0546,31,8
0.0547,31,8
0.0548,31,8
0.0549,31,8
0.055,31,8
0.0551,31,8
0.0552,31,8
0.0553,31,8
0.0554,31,8
0.0555,31,8
0.0556,31,8
0.0557,31,8
0.0558,31,8
0.0559,31,8
0.056,31,8
0.0561,31,8
0.0562,31,8
0.0563,31,8
0.0564,31,8
0.0565,30,8
0.0566,29,8
0.0567,29,8
0.0568,29,8
0.0569,29,8
0.057,29,8
0.0571,29,8
0.0572,29,8
0.0573,29,8
0.0574,29,8
0.0575,29,8
0.0576,29,8
0.0577,29,8
0.0578,29,8
0.0579,29,8
0.058,29,8
0.0581,29,8
0.0582,29,8
0.0583,29,8
0.0584,29,8
0.0585,29,8
0.0586,29,8
0.0587,29,8
0.0588,29,8
0.0589,29,8
0.059,29,8
0.0591,29,8
0.0592,29,8
0.0593,29,8
0.0594,29,8
0.0595,29,8
0.0596,29,8
0.0597,29,8
0.0598,29,8
0.0599,29,8
0.06,29,8
0.0601,29,8
0.0602,29,8
0.0603,29,8
0.0604,29,8
0.0605,29,8
0.0606,29,8
0.0607,29,8
0.0608,29,8
0.0609,29,8
0.061,29,8
0.0611,29,8
0.0612,29,8
0.0613,29,8
0.0614,29,8
0.0615,29,8
0.0616,29,8
0.0617,29,8
0.0618,29,8
0.0619,29,8
0.062,29,8
0.0621,29,8
0.0622,29,8
0.0623,29,8
0.0624,29,8
0.0625,29,8
0.0626,29,8
0.0627,29,8
0.0628,29,7
0.0629,29,7
0.063,29,7
0.0631,29,7
0.0632,29,7
0.0633,29,7
0.0634,29,7
0.0635,29,7
0.0636,29,7
0.0637,29,7
0.0638,29,7
0.0639,29,7
0.064,29,7
0.0641,29,7
0.0642,29,7
0.0643,29,7
0.0644,29,7
0.0645,29,7
0.0646,29,7
0.0647,29,7
0.0648,29,7
0.0649,29,7
0.065,29,7
0.0651,29,7
0.0652,29,7
0.0653,29,7
0.0654,29,7
0.0655,29,7
0.0656,29,7
0.0657,29,7
0.0658,29,7
0.0659,29,7
0.066,29,7
0.0661,29,7
0.0662,29,7
0.0663,29,7
0.0664,29,7
0.0665,29,7
0.0666,29,7
0.0667,29,7
0.0668,29,7
0.0669,29,7
0.067,29,7
0.0671,29,7
0.0672,29,7
0.0673,29,7
0.0674,29,7
0.0675,29,7
0.0676,29,7
0.0677,29,7
0.0678,29,7
0.0679,29,7
0.068,29,7
0.0681,29,7
0.0682,29,7
0.0683,29,7
0.0684,29,7
0.0685,29,7
0.0686,29,7
0.0687,29,7
0.0688,29,7
0.0689,29,7
0.069,29,7
0.0691,29,7
0.0692,29,7
0.0693,29,7
0.0694,29,7
0.0695,29,7
0.0696,29,7
0.0697,29,7
