"Sample","ChrA","ChrB","ChrC","ChrD","ChrE","ChrF","ChrG","ChrH","ChrI","ChrJ","ChrK","ChrL","ChrM"
"ERR1938051",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ERR1938052",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ERR1938054",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ERR1938055",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ERR1938056",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ERR1938057",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ERR1938059",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4
"ERR1938062",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ERR1938064",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ERR1938069",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ERR1938072",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ERR1938083",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ERR1938084",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ERR1938086",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ERR4669757",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HSC003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HSC005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HSC017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HSC024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HSC027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HSC031",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HSC045",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HSC052",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HSC053",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HSC066",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HSC071",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HSC072",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HSC073",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HSC075",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HSC086",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HSC096",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HSC101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HSC103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRR10725598",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRR5239767",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRR5239770",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRR5239772",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRR8068014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRR8068015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRR8068018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRR8068021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRR8068022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRR8068025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRR8068031",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRR8068032",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRR8068043",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRR8068047",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRR8068050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRR8068051",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRR8068052",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRR8068060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRR8697280",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRR8697288",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRR8697318",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRR8697447",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRR8697497",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
