"Sample","ChrA","ChrB","ChrC","ChrD","ChrE","ChrF","ChrG","ChrH","ChrI","ChrJ","ChrK","ChrL","ChrM"
"ERR1938051",3497,3203,5363,4212,4633,6277,6528,6925,7996,7769,8111,9150,8839
"ERR1938052",2827,2578,3602,3388,3322,4714,5588,5417,6441,6388,6498,5363,6922
"ERR1938054",3690,3232,4697,4113,4817,5914,6249,6443,8221,7361,7957,8985,7980
"ERR1938055",3648,3203,5137,4189,4284,6405,6201,6307,7926,7338,8224,9536,8748
"ERR1938056",31,55,107,42,101,85,84,90,64,90,124,103,86
"ERR1938057",3225,2393,3209,3448,3267,4304,4992,4673,6484,5099,6870,5569,6197
"ERR1938059",7,22,15,12,14,12,12,45,3,22,15,4,4
"ERR1938062",3455,2503,3358,3415,3622,4056,4962,5080,5500,5240,6599,6132,6828
"ERR1938064",3360,2594,3617,3561,3847,4420,4339,4699,6786,6051,5917,5759,6578
"ERR1938069",4057,3300,4868,4202,4751,6363,6350,6440,8554,7526,8085,9247,8812
"ERR1938072",3499,3192,5570,4215,4618,6252,6530,6970,8124,7764,8146,9250,8866
"ERR1938083",3440,2371,3588,3237,3463,4330,5150,4974,6417,5282,5804,5592,6113
"ERR1938084",3517,3214,5529,4227,4639,6339,6560,6979,8160,7819,8163,9221,8878
"ERR1938086",3249,2417,3207,3450,3278,4319,5027,4680,6550,5137,6918,5630,6226
"ERR4669757",3689,3194,5118,4186,4274,6374,6215,6299,7974,7285,8209,9451,8749
"HSC003",3910,3344,5034,4273,5169,6439,6438,6528,8653,7676,8159,9514,8756
"HSC005",3693,3094,5102,4079,4607,6404,6129,6351,7517,7623,7730,9077,7847
"HSC017",3799,3158,5805,4426,4563,6236,6402,6387,7968,7555,8806,9016,8672
"HSC024",3798,3156,5805,4400,4587,6232,6412,6362,8073,7595,8804,8980,8631
"HSC027",4158,3351,4885,4249,4793,6426,6409,6507,8821,7642,8185,9350,8883
"HSC031",3245,2426,3256,3484,3307,4347,5094,4737,6655,5187,7022,5638,6329
"HSC045",4136,3157,5792,4417,4594,6213,6404,6395,8049,7484,8803,9015,8646
"HSC052",3711,3299,4749,4194,4934,6021,6344,6551,8440,7458,8042,9123,8048
"HSC053",3722,3105,5110,4084,4557,6422,6118,6357,7509,7627,7739,9105,7799
"HSC066",3714,3288,4748,4184,4930,6011,6337,6571,8428,7469,8050,9076,8062
"HSC071",3698,3284,4946,4178,4928,5982,6333,6554,8392,7457,8038,9117,8045
"HSC072",3710,3266,4738,4180,4941,6002,6331,6556,8415,7445,8036,9129,8044
"HSC073",3257,2429,3243,3476,3326,4355,5116,4743,6673,5198,6989,5653,6319
"HSC075",3714,3272,4746,4182,4918,5957,6340,6542,8397,7441,8030,9133,8041
"HSC086",4215,3351,4926,4263,4923,6412,6405,6501,8738,7631,8201,9345,8933
"HSC096",3703,3285,4786,4173,4959,6008,6345,6533,8466,7447,8039,9139,8039
"HSC101",3062,2149,3458,3175,3375,4488,4756,4734,6126,5582,6531,5779,5901
"HSC103",3078,2156,3427,3179,3366,4489,4752,4720,6088,5596,6531,5791,5886
"SRR10725598",4280,3392,4990,4232,4957,6454,6450,6575,8897,7785,8197,9474,9001
"SRR5239767",3584,2403,3634,3274,3484,4374,5215,5074,6526,5252,5834,5653,6087
"SRR5239770",3593,3262,5677,4253,4369,6347,6642,7019,8305,7932,8240,9309,8820
"SRR5239772",3567,3243,5834,4258,4789,6360,6648,7057,8303,7961,8242,9421,8892
"SRR8068014",3824,3290,5673,4307,5186,6025,6495,6780,8199,7397,7796,9322,8700
"SRR8068015",3806,3158,5778,4433,4611,6246,6424,6388,8055,7563,8769,9005,8644
"SRR8068018",3839,3271,4182,4382,5210,6228,6661,6557,8105,7563,8079,9165,8320
"SRR8068021",4167,3198,4218,4225,5246,6137,6595,6543,8313,7322,8147,9188,8404
"SRR8068022",3660,3119,5175,4045,4591,6403,6108,6328,7500,7586,7742,9070,7797
"SRR8068025",3773,3198,4823,4169,4743,6176,6342,6533,8209,7397,7633,9310,8420
"SRR8068031",3587,3015,5301,4019,4397,6196,6371,6402,7861,7408,8219,9381,8627
"SRR8068032",2511,2545,3577,3379,3392,4776,4805,5129,5345,5638,6390,5337,6261
"SRR8068043",2819,2439,3588,3635,3167,4022,4918,4902,6547,5430,6383,6689,6445
"SRR8068047",3713,3136,5836,4398,4573,6209,6398,6347,8010,7540,8738,8932,8604
"SRR8068050",2822,2436,3598,3630,3172,4030,4921,4901,6582,5438,6400,6672,6478
"SRR8068051",3465,2529,3427,3421,3651,4086,4991,5137,5586,5300,6622,6161,6909
"SRR8068052",3641,2521,3363,4010,3754,4554,5568,5312,6247,5849,6333,7201,7002
"SRR8068060",3756,3165,4819,4165,4767,6160,6344,6549,8112,7411,7616,9273,8409
"SRR8697280",3625,2557,3514,3461,3809,4119,5068,5167,5723,5352,6661,6241,6978
"SRR8697288",3577,3280,5944,4278,4833,6366,6669,7155,8467,8010,8258,9485,8956
"SRR8697318",3800,3153,5382,4089,4627,6438,6183,6486,7639,7766,7845,9217,7839
"SRR8697447",3907,3207,5954,4469,4735,6253,6473,6449,8011,7794,8906,9123,8753
"SRR8697497",3314,2452,3314,3491,3323,4378,5174,4847,6750,5243,7086,5739,6374
