Cluster_1,Cluster_2,Avg_Distance,SNP_Differences_per_kb
8,3,0.232979799,19
8,4,0.152691991,13
8,6,0.216244283,18
8,7,0.166600165,14
8,10,0.212463169,18
8,15,0.210077542,17
8,16,0.214579357,18
8,17,0.20797432,17
8,18,0.221317663,18
8,19,0.168043261,14
8,22,0.208741496,17
8,24,0.197147758,16
8,25,0.207952977,17
8,26,0.212619862,18
8,36,0.215250381,18
8,S,0.196979814,16
8,45,0.223769669,18
8,46,0.162370446,13
8,55,0.172138307,14
8,56,0.18865537,16
8,83,0.197649304,16
8,136,0.213111736,18
8,148,0.225420665,19
8,162,0.176357746,15
8,169,0.210322686,17
8,177,0.203868071,17
8,224,0.216067923,18
3,4,0.231950671,19
3,6,0.21018705,17
3,7,0.232530273,19
3,10,0.206405936,17
3,15,0.204020309,17
3,16,0.159702258,13
3,17,0.201917087,17
3,18,0.215260431,18
3,19,0.233973369,19
3,22,0.202684263,17
3,24,0.16674727,14
3,25,0.201895745,17
3,26,0.206562629,17
3,36,0.209193148,17
3,S,0.196848864,16
3,45,0.148469574,12
3,46,0.228300554,19
3,55,0.238068414,20
3,56,0.254585477,21
3,83,0.191592071,16
3,136,0.158234638,13
3,148,0.15012057,12
3,162,0.242287854,20
3,169,0.204265453,17
3,177,0.197810839,16
3,224,0.210010691,17
4,6,0.215215154,18
4,7,0.165571037,14
4,10,0.21143404,17
4,15,0.209048413,17
4,16,0.213550228,18
4,17,0.206945191,17
4,18,0.220288535,18
4,19,0.167014133,14
4,22,0.207712368,17
4,24,0.19611863,16
4,25,0.206923849,17
4,26,0.211590733,17
4,36,0.214221252,18
4,S,0.190886102,16
4,45,0.22274054,18
4,46,0.161341318,13
4,55,0.171109179,14
4,56,0.187626242,15
4,83,0.196620175,16
4,136,0.212082608,18
4,148,0.224391536,19
4,162,0.175328618,14
4,169,0.209293557,17
4,177,0.202838943,17
4,224,0.215038795,18
6,7,0.215794757,18
6,10,0.151003508,12
6,15,0.148617881,12
6,16,0.191786608,16
6,17,0.135721101,11
6,18,0.159858003,13
