Location                     : 250825_gatk_ChrM_nomtd_dip.vcf.gz
Failed Filters               : 6955
Passed Filters               : 34412

Sample Name: ERR1938055
SNPs                         : 8430
MNPs                         : 0
Insertions                   : 0
Deletions                    : 0
Indels                       : 0
Same as reference            : 25669
Missing Genotype             : 232
Partial Genotype             : 81
Phased Genotypes             : 8.6% (2944/34180)
SNP Transitions/Transversions: 1.77 (10699/6058)
Total Het/Hom ratio          : 0.01 (113/8398)
SNP Het/Hom ratio            : 0.01 (104/8326)
MNP Het/Hom ratio            : - (0/0)
Insertion Het/Hom ratio      : - (0/0)
Deletion Het/Hom ratio       : - (0/0)
Indel Het/Hom ratio          : - (0/0)
Insertion/Deletion ratio     : - (0/0)
Indel/SNP+MNP ratio          : 0.00 (0/8430)

Sample Name: ERR1938056
SNPs                         : 76
MNPs                         : 0
Insertions                   : 0
Deletions                    : 0
Indels                       : 0
Same as reference            : 34326
Missing Genotype             : 8
Partial Genotype             : 2
Phased Genotypes             : 0.0% (12/34404)
SNP Transitions/Transversions: 1.22 (82/67)
Total Het/Hom ratio          : 0.05 (4/74)
SNP Het/Hom ratio            : 0.04 (3/73)
MNP Het/Hom ratio            : - (0/0)
Insertion Het/Hom ratio      : - (0/0)
Deletion Het/Hom ratio       : - (0/0)
Indel Het/Hom ratio          : - (0/0)
Insertion/Deletion ratio     : - (0/0)
Indel/SNP+MNP ratio          : 0.00 (0/76)

Sample Name: ERR1938057
SNPs                         : 6030
MNPs                         : 0
Insertions                   : 0
Deletions                    : 0
Indels                       : 0
Same as reference            : 28186
Missing Genotype             : 117
Partial Genotype             : 79
Phased Genotypes             : 6.0% (2060/34295)
SNP Transitions/Transversions: 1.79 (7698/4293)
Total Het/Hom ratio          : 0.01 (76/6033)
SNP Het/Hom ratio            : 0.01 (70/5960)
MNP Het/Hom ratio            : - (0/0)
Insertion Het/Hom ratio      : - (0/0)
Deletion Het/Hom ratio       : - (0/0)
Indel Het/Hom ratio          : - (0/0)
Insertion/Deletion ratio     : - (0/0)
Indel/SNP+MNP ratio          : 0.00 (0/6030)

Sample Name: ERR1938058
SNPs                         : 5711
MNPs                         : 0
Insertions                   : 0
Deletions                    : 0
Indels                       : 0
Same as reference            : 28626
Missing Genotype             : 13
Partial Genotype             : 62
Phased Genotypes             : 5.2% (1785/34399)
SNP Transitions/Transversions: 1.84 (7362/4005)
Total Het/Hom ratio          : 0.01 (58/5715)
SNP Het/Hom ratio            : 0.01 (55/5656)
MNP Het/Hom ratio            : - (0/0)
Insertion Het/Hom ratio      : - (0/0)
Deletion Het/Hom ratio       : - (0/0)
Indel Het/Hom ratio          : - (0/0)
Insertion/Deletion ratio     : - (0/0)
Indel/SNP+MNP ratio          : 0.00 (0/5711)

Sample Name: ERR1938059
SNPs                         : 4
MNPs                         : 0
Insertions                   : 0
Deletions                    : 0
Indels                       : 0
Same as reference            : 34405
Missing Genotype             : 1
Partial Genotype             : 2
Phased Genotypes             : 0.0% (3/34411)
SNP Transitions/Transversions: 0.33 (2/6)
Total Het/Hom ratio          : 0.50 (2/4)
SNP Het/Hom ratio            : 0.00 (0/4)
