Location                     : 250820_merged_ChrI_nomtd_hap.vcf.gz
Failed Filters               : 0
Passed Filters               : 1100331

Sample Name: ERR1938051
SNPs                         : 7996
MNPs                         : 0
Insertions                   : 0
Deletions                    : 0
Indels                       : 0
Same as reference            : 1073001
Missing Genotype             : 19334
Total Haploid                : 7996
Haploid SNPs                 : 7996
Haploid MNPs                 : 0
Haploid Insertions           : 0
Haploid Deletions            : 0
Haploid Indels               : 0
SNP Transitions/Transversions: 1.68 (5009/2987)
Insertion/Deletion ratio     : - (0/0)
Indel/SNP+MNP ratio          : 0.00 (0/7996)

Sample Name: ERR1938052
SNPs                         : 6441
MNPs                         : 0
Insertions                   : 0
Deletions                    : 0
Indels                       : 0
Same as reference            : 1088432
Missing Genotype             : 5458
Total Haploid                : 6441
Haploid SNPs                 : 6441
Haploid MNPs                 : 0
Haploid Insertions           : 0
Haploid Deletions            : 0
Haploid Indels               : 0
SNP Transitions/Transversions: 1.64 (4003/2438)
Insertion/Deletion ratio     : - (0/0)
Indel/SNP+MNP ratio          : 0.00 (0/6441)

Sample Name: ERR1938054
SNPs                         : 8221
MNPs                         : 0
Insertions                   : 0
Deletions                    : 0
Indels                       : 0
Same as reference            : 1077803
Missing Genotype             : 14307
Total Haploid                : 8221
Haploid SNPs                 : 8221
Haploid MNPs                 : 0
Haploid Insertions           : 0
Haploid Deletions            : 0
Haploid Indels               : 0
SNP Transitions/Transversions: 1.66 (5134/3087)
Insertion/Deletion ratio     : - (0/0)
Indel/SNP+MNP ratio          : 0.00 (0/8221)

Sample Name: ERR1938055
SNPs                         : 7926
MNPs                         : 0
Insertions                   : 0
Deletions                    : 0
Indels                       : 0
Same as reference            : 1080900
Missing Genotype             : 11505
Total Haploid                : 7926
Haploid SNPs                 : 7926
Haploid MNPs                 : 0
Haploid Insertions           : 0
Haploid Deletions            : 0
Haploid Indels               : 0
SNP Transitions/Transversions: 1.64 (4925/3001)
Insertion/Deletion ratio     : - (0/0)
Indel/SNP+MNP ratio          : 0.00 (0/7926)

Sample Name: ERR1938056
SNPs                         : 64
MNPs                         : 0
Insertions                   : 0
Deletions                    : 0
Indels                       : 0
Same as reference            : 1100084
Missing Genotype             : 183
Total Haploid                : 64
Haploid SNPs                 : 64
Haploid MNPs                 : 0
Haploid Insertions           : 0
Haploid Deletions            : 0
