SequenceName	ClusterNumber
SRR12704633	1
SRR12825240	1
SRR12825237	1
SRR8068023	-1
SRR8068016	2
SRR8068052	2
SRR8068035	2
SRR8068053	2
SRR8068037	2
SRR8068044	2
SRR8068039	2
SRR3925773	2
SRR8697327	2
SRR12825232	2
SRR5239762	3
SRR5239763	3
YST6V24	4
SRR8697362	4
SRR8697505	4
SRR8697314	4
SRR8697306	4
SRR8697446	4
SRR8697302	4
SRR8697485	4
SRR8697433	4
SRR8697454	4
SRR8697312	4
SRR8697346	4
SRR8697509	4
SRR8697422	4
SRR11235427	4
SRR11235428	4
SRR8697265	4
SRR8697413	4
SRR8697333	4
SRR8697375	4
SRR8697437	4
SRR8697348	4
SRR8697423	4
SRR8697329	4
SRR8697368	4
SRR8697510	4
SRR8697266	4
SRR8697277	4
SRR8697283	4
SRR8697358	4
SRR8697441	4
SRR8697456	4
SRR8697472	4
SRR8697320	4
SRR8697465	4
SRR8697301	4
SRR8697444	4
SRR8697313	4
SRR8697409	4
SRR8697374	4
SRR8697269	4
SRR8697340	4
SRR8697406	4
SRR8697297	4
SRR8697418	4
SRR8697272	4
SRR8697450	4
SRR8697464	4
SRR8697479	4
SRR8697489	4
SRR8697357	4
SRR8697318	4
SRR8697383	4
SRR8697488	4
SRR8697264	4
SRR8697493	4
SRR8697384	4
SRR8697336	4
SRR8697397	4
HSC053	4
SRR8697417	4
SRR8697373	4
SRR8697466	4
HSC005	4
SRR8068020	4
SRR8068057	4
SRR8068022	4
SRR3925770	4
SRR3925733	4
SRR3925744	4
SRR3925749	4
SRR3925751	4
SRR3925766	4
SRR3925746	4
SRR8068054	-1
SRR8068031	5
SRR8697298	5
ERR1938045	6
ERR4669757	6
ERR1938055	6
SRR2982718	6
SRR2982719	6
SRR12825247	-1
SRR12704631	7
SRR12704629	7
SRR12704632	7
SRR12704630	7
SRR5239759	7
SRR7609359	7
SRR7609360	7
SRR12704636	7
ERR4669779	7
ERR4669787	7
HSC045	7
SRR8068058	7
SRR11235421	7
SRR8697385	7
SRR8697410	7
SRR8697494	7
SRR8697506	7
SRR8697285	7
SRR8697342	7
SRR8697324	7
SRR8697389	7
SRR8697484	7
SRR8697315	7
SRR8697504	7
SRR8697366	7
SRR8697270	7
SRR8697474	7
SRR8697477	7
SRR8697387	7
SRR8697425	7
SRR8697289	7
SRR8697361	7
SRR8697490	7
SRR8697396	7
SRR8068015	7
SRR8697460	7
SRR3925740	7
SRR8697475	7
SRR3925761	7
SRR3925765	7
SRR3925758	7
SRR8697341	7
SRR8697447	7
SRR8697330	7
ERR1938061	7
ERR1938077	7
SRR11235425	7
SRR11235426	7
SRR12825235	7
SRR12704627	7
SRR12704628	7
SRR12704626	7
SRR8068026	7
SRR8068055	7
HSC017	7
SRR12704625	7
HSC024	7
SRR8068048	7
SRR8068059	7
SRR8068041	7
SRR12825221	7
SRR8068047	7
SRR12825214	7
SRR12825231	7
ERR4669786	7
SRR12825236	7
SRR8953802	7
SRR13648884	7
SRR13648885	7
SRR3925759	7
ERR1938050	7
ERR1938053	7
ERR1938079	7
ERR1938042	7
SRR5239760	7
SRR5239761	7
SRR3925753	7
SRR10877325	7
SRR5239757	7
SRR3925768	7
SRR3925767	7
SRR3925764	7
SRR3925762	7
SRR3925757	7
SRR8697274	8
SRR8697480	8
SRR11235422	8
SRR8697462	8
ERR1938064	8
SRR8697295	8
SRR12825211	8
SRR12825213	8
SRR12825212	8
SRR12825244	8
SRR8953804	9
SRR5239773	9
SRR5239772	9
SRR12825248	9
SRR12825210	9
ERR1938085	9
SRR8697288	9
SRR8697458	9
SRR8697334	9
SRR8697496	9
SRR8697351	9
SRR8697461	9
SRR8697388	9
SRR8697499	9
SRR8697291	9
SRR8697287	9
SRR8697414	9
SRR8697401	9
SRR8697486	9
