Location                     : 250820_merged_ChrM_nomtd_hap.vcf.gz
Failed Filters               : 0
Passed Filters               : 1402899

Sample Name: ERR1938051
SNPs                         : 8839
MNPs                         : 0
Insertions                   : 0
Deletions                    : 0
Indels                       : 0
Same as reference            : 1392262
Missing Genotype             : 1798
Total Haploid                : 8839
Haploid SNPs                 : 8839
Haploid MNPs                 : 0
Haploid Insertions           : 0
Haploid Deletions            : 0
Haploid Indels               : 0
SNP Transitions/Transversions: 1.68 (5547/3292)
Insertion/Deletion ratio     : - (0/0)
Indel/SNP+MNP ratio          : 0.00 (0/8839)

Sample Name: ERR1938052
SNPs                         : 6922
MNPs                         : 0
Insertions                   : 0
Deletions                    : 0
Indels                       : 0
Same as reference            : 1395141
Missing Genotype             : 836
Total Haploid                : 6922
Haploid SNPs                 : 6922
Haploid MNPs                 : 0
Haploid Insertions           : 0
Haploid Deletions            : 0
Haploid Indels               : 0
SNP Transitions/Transversions: 1.70 (4362/2560)
Insertion/Deletion ratio     : - (0/0)
Indel/SNP+MNP ratio          : 0.00 (0/6922)

Sample Name: ERR1938054
SNPs                         : 7980
MNPs                         : 0
Insertions                   : 0
Deletions                    : 0
Indels                       : 0
Same as reference            : 1394647
Missing Genotype             : 272
Total Haploid                : 7980
Haploid SNPs                 : 7980
Haploid MNPs                 : 0
Haploid Insertions           : 0
Haploid Deletions            : 0
Haploid Indels               : 0
SNP Transitions/Transversions: 1.73 (5052/2928)
Insertion/Deletion ratio     : - (0/0)
Indel/SNP+MNP ratio          : 0.00 (0/7980)

Sample Name: ERR1938055
SNPs                         : 8748
MNPs                         : 0
Insertions                   : 0
Deletions                    : 0
Indels                       : 0
Same as reference            : 1391735
Missing Genotype             : 2416
Total Haploid                : 8748
Haploid SNPs                 : 8748
Haploid MNPs                 : 0
Haploid Insertions           : 0
Haploid Deletions            : 0
Haploid Indels               : 0
SNP Transitions/Transversions: 1.75 (5571/3177)
Insertion/Deletion ratio     : - (0/0)
Indel/SNP+MNP ratio          : 0.00 (0/8748)

Sample Name: ERR1938056
SNPs                         : 86
MNPs                         : 0
Insertions                   : 0
Deletions                    : 0
Indels                       : 0
Same as reference            : 1402774
Missing Genotype             : 39
Total Haploid                : 86
Haploid SNPs                 : 86
Haploid MNPs                 : 0
Haploid Insertions           : 0
Haploid Deletions            : 0
Haploid Indels               : 0
SNP Transitions/Transversions: 1.15 (46/40)
Insertion/Deletion ratio     : - (0/0)
Indel/SNP+MNP ratio          : 0.00 (0/86)

Sample Name: ERR1938057
SNPs                         : 6197
MNPs                         : 0
Insertions                   : 0
Deletions                    : 0
Indels                       : 0
Same as reference            : 1395661
Missing Genotype             : 1041
Total Haploid                : 6197
Haploid SNPs                 : 6197
Haploid MNPs                 : 0
Haploid Insertions           : 0
Haploid Deletions            : 0
Haploid Indels               : 0
SNP Transitions/Transversions: 1.75 (3940/2257)
Insertion/Deletion ratio     : - (0/0)
Indel/SNP+MNP ratio          : 0.00 (0/6197)

Sample Name: ERR1938059
SNPs                         : 4
MNPs                         : 0
Insertions                   : 0
Deletions                    : 0
Indels                       : 0
Same as reference            : 1402895
Total Haploid                : 4
Haploid SNPs                 : 4
Haploid MNPs                 : 0
Haploid Insertions           : 0
Haploid Deletions            : 0
Haploid Indels               : 0
SNP Transitions/Transversions: 0.33 (1/3)
Insertion/Deletion ratio     : - (0/0)
Indel/SNP+MNP ratio          : 0.00 (0/4)

Sample Name: ERR1938062
SNPs                         : 6828
MNPs                         : 0
Insertions                   : 0
Deletions                    : 0
Indels                       : 0
Same as reference            : 1395441
Missing Genotype             : 630
Total Haploid                : 6828
Haploid SNPs                 : 6828
Haploid MNPs                 : 0
Haploid Insertions           : 0
Haploid Deletions            : 0
Haploid Indels               : 0
SNP Transitions/Transversions: 1.70 (4296/2532)
Insertion/Deletion ratio     : - (0/0)
Indel/SNP+MNP ratio          : 0.00 (0/6828)

Sample Name: ERR1938064
SNPs                         : 6578
MNPs                         : 0
Insertions                   : 0
Deletions                    : 0
Indels                       : 0
Same as reference            : 1395866
Missing Genotype             : 455
Total Haploid                : 6578
Haploid SNPs                 : 6578
Haploid MNPs                 : 0
Haploid Insertions           : 0
Haploid Deletions            : 0
Haploid Indels               : 0
SNP Transitions/Transversions: 1.79 (4223/2355)
Insertion/Deletion ratio     : - (0/0)
Indel/SNP+MNP ratio          : 0.00 (0/6578)

Sample Name: ERR1938069
SNPs                         : 8812
MNPs                         : 0
Insertions                   : 0
Deletions                    : 0
Indels                       : 0
Same as reference            : 1393255
Missing Genotype             : 832
Total Haploid                : 8812
Haploid SNPs                 : 8812
Haploid MNPs                 : 0
Haploid Insertions           : 0
Haploid Deletions            : 0
Haploid Indels               : 0
SNP Transitions/Transversions: 1.72 (5576/3236)
Insertion/Deletion ratio     : - (0/0)
Indel/SNP+MNP ratio          : 0.00 (0/8812)

Sample Name: ERR1938072
SNPs                         : 8866
MNPs                         : 0
Insertions                   : 0
Deletions                    : 0
Indels                       : 0
Same as reference            : 1392487
Missing Genotype             : 1546
Total Haploid                : 8866
Haploid SNPs                 : 8866
Haploid MNPs                 : 0
Haploid Insertions           : 0
Haploid Deletions            : 0
Haploid Indels               : 0
