SequenceName	ClusterNumber
SRR12825237	1
SRR12825240	1
SRR12704633	1
SRR5239763	2
SRR5239762	2
SRR3925746	3
SRR3925766	3
SRR3925744	3
SRR3925733	3
SRR3925770	3
SRR3925751	3
SRR3925749	3
YST6V24	3
SRR8068022	3
HSC005	3
SRR8068057	3
SRR8068020	3
SRR8697466	3
SRR8697373	3
SRR8697417	3
HSC053	3
SRR8697397	3
SRR8697336	3
SRR8697384	3
SRR8697493	3
SRR8697264	3
SRR8697488	3
SRR8697383	3
SRR8697318	3
SRR8697357	3
SRR8697489	3
SRR8697479	3
SRR8697297	3
SRR8697456	3
SRR8697329	3
SRR8697422	3
SRR8697464	3
SRR8697406	3
SRR8697441	3
SRR8697277	3
SRR8697266	3
SRR8697510	3
SRR8697368	3
SRR8697450	3
SRR8697358	3
SRR8697283	3
SRR8697333	3
SRR8697433	3
SRR8697272	3
SRR8697418	3
SRR8697444	3
SRR8697423	3
SRR8697348	3
SRR8697437	3
SRR8697375	3
SRR8697413	3
SRR8697509	3
SRR8697346	3
SRR8697312	3
SRR8697454	3
SRR8697340	3
SRR8697269	3
SRR8697374	3
SRR8697265	3
SRR8697485	3
SRR8697302	3
SRR8697409	3
SRR8697313	3
SRR8697301	3
SRR8697465	3
SRR8697320	3
SRR8697472	3
SRR11235428	3
SRR11235427	3
SRR8697446	3
SRR8697306	3
SRR8697314	3
SRR8697505	3
SRR8697362	3
SRR8697298	4
SRR8068031	4
SRR2982719	5
SRR2982718	5
ERR1938055	5
ERR4669757	5
ERR1938045	5
SRR3925757	6
SRR3925762	6
SRR3925764	6
SRR3925767	6
SRR3925768	6
SRR5239757	6
SRR10877325	6
SRR3925753	6
SRR5239761	6
SRR5239760	6
ERR1938042	6
ERR1938079	6
SRR3925759	6
SRR13648885	6
SRR13648884	6
ERR1938053	6
ERR1938050	6
SRR8953802	6
SRR8697475	6
SRR3925740	6
SRR12825236	6
SRR8697460	6
SRR8068015	6
ERR4669786	6
SRR8068041	6
SRR8697396	6
SRR8068059	6
SRR12704625	6
HSC017	6
SRR11235421	6
SRR12825231	6
SRR12825214	6
SRR8068047	6
SRR12825221	6
SRR8068048	6
HSC024	6
SRR8068055	6
SRR8068026	6
SRR8697490	6
SRR8697361	6
SRR8697289	6
SRR8697506	6
SRR8697494	6
SRR8697410	6
SRR8697385	6
SRR12704626	6
SRR12825235	6
SRR12704636	6
SRR12704628	6
SRR12704627	6
SRR8697425	6
SRR8068058	6
HSC045	6
ERR4669787	6
ERR4669779	6
SRR11235426	6
SRR11235425	6
SRR8697387	6
SRR8697270	6
SRR8697484	6
SRR7609360	6
SRR7609359	6
SRR5239759	6
ERR1938077	6
ERR1938061	6
SRR8697330	6
SRR8697477	6
SRR8697474	6
SRR8697366	6
SRR12704630	6
SRR8697504	6
SRR8697315	6
SRR8697389	6
SRR8697324	6
SRR8697342	6
SRR8697285	6
SRR12704632	6
SRR8697447	6
SRR8697341	6
SRR3925758	6
SRR12704629	6
SRR12704631	6
SRR3925765	6
SRR3925761	6
SRR12825247	-1
SRR8697445	7
SRR12825258	7
SRR12825215	7
SRR8068014	-1
SRR5459193	8
SRR5459192	8
SRR3925760	8
SRR5239774	8
SRR3925763	8
ERR1938072	8
SRR3925750	8
SRR5239770	8
SRR5239758	8
SRR12825255	8
SRR5239771	8
ERR1938084	8
ERR1938051	8
SRR8068062	8
SRR8068061	8
SRR8697353	8
ERR1938087	8
ERR1938068	8
SRR8697427	8
SRR8697426	8
SRR8697367	8
SRR8697486	8
SRR8697287	8
SRR8697401	8
SRR8697414	8
SRR8697291	8
SRR8697499	8
SRR8697388	8
SRR8697458	8
SRR8697461	8
SRR8697288	8
SRR8697351	8
SRR8697496	8
SRR8697334	8
ERR1938085	8
SRR5239772	8
SRR12825210	8
SRR12825248	8
SRR5239773	8
SRR8953804	8
SRR8697296	9
SRR8068049	9
SRR8068021	9
SRR8068017	9
SRR12704638	9
SRR8068018	-1
SRR12825202	10
SRR12825206	10
SRR12825203	10
SRR12825204	10
SRR12825207	10
SRR12825201	10
SRR12825209	10
SRR12825208	10
SRR12825205	10
SRR8697350	11
SRR8697352	11
SRR8697470	11
SRR8697483	11
SRR12825249	12
SRR12825245	12
SRR12825199	12
SRR8068060	12
SRR8068025	12
SRR8697407	12
SRR8241569	12
SRR8241570	12
SRR8241571	12
SRR12825257	13
ERR1938054	13
SRR12825239	13
SRR5239776	13
SRR5239775	13
ERR1938060	13
SRR8068033	13
HSC066	13
SRR8068040	13
SRR8068036	13
ERR4669782	13
HSC052	13
HSC071	13
HSC096	13
SRR12825219	13
SRR12825217	13
SRR8068034	13
SRR8068030	13
SRR8697376	13
SRR8697304	13
HSC075	13
HSC072	13
SRR8697453	13
SRR8697303	13
SRR8697394	13
SRR8697354	13
SRR12825252	14
HSC027	14
SRR11235424	14
SRR11235423	14
SRR5239778	14
SRR8697424	14
SRR5239780	14
SRR5239779	14
HSC086	14
SRR3925755	14
