"Sample","ChrA","ChrB","ChrC","ChrD","ChrE","ChrF","ChrG","ChrH","ChrI","ChrJ","ChrK","ChrL","ChrM"
"ERR1938055",685,82,402,201,186,143,301,306,297,358,224,104,104
"ERR1938056",25,75,377,142,32,16,74,116,112,121,103,9,3
"ERR1938057",183,118,436,193,312,85,176,151,202,275,207,140,70
"ERR1938058",100,72,417,167,251,41,226,190,180,232,118,48,55
"ERR1938059",21,80,339,158,29,23,74,99,86,159,123,12,0
"ERR1938060",369,47,567,224,280,169,280,311,359,297,150,290,147
"ERR1938061",417,108,301,196,201,133,237,231,365,264,212,243,174
"ERR1938062",126,60,448,157,251,89,267,210,167,263,174,101,78
"ERR1938063",26,75,387,138,105,25,95,131,110,123,105,7,0
"ERR1938066",119,73,460,164,95,72,219,216,184,266,128,64,10
"SRR10725597",97,55,347,143,276,79,282,233,148,247,169,102,68
"SRR10725598",356,72,582,203,284,121,350,346,335,267,149,311,356
"SRR5239759",310,65,169,179,193,111,240,244,346,242,121,226,146
"SRR5239760",316,74,186,170,194,138,218,251,364,246,154,212,135
"SRR5239761",298,73,173,160,193,119,199,258,356,265,133,232,139
"SRR5239767",72,51,408,165,164,73,202,190,145,260,136,56,5
"SRR5239770",319,98,961,166,230,95,281,249,298,244,181,175,114
"SRR5239772",301,80,726,181,240,82,293,255,304,245,184,176,98
"SRR8068012",201,99,396,193,216,98,223,217,226,255,111,161,8
"SRR8068013",63,61,476,183,174,69,239,210,205,297,169,113,75
"SRR8068014",327,143,972,244,232,293,218,306,273,312,189,229,227
"SRR8068015",327,83,250,184,183,136,248,279,354,249,153,176,155
"SRR8068016",86,96,251,190,168,78,179,243,225,257,123,44,78
"SRR8068017",145,150,603,217,256,523,304,223,168,289,169,112,196
"SRR8068018",371,41,570,165,247,94,323,258,328,314,166,248,377
"SRR8068019",195,100,373,188,217,102,221,232,231,275,146,149,7
"SRR8068020",310,117,638,217,198,120,193,248,372,292,165,81,315
"SRR8068021",164,150,588,202,220,515,300,230,169,382,167,111,120
"SRR8068022",300,105,675,191,213,138,212,248,389,264,158,96,310
"SRR8068023",381,42,206,331,137,115,285,270,195,283,163,175,56
"SRR8068024",182,129,403,206,256,105,246,282,226,306,186,140,121
"SRR8068026",362,85,245,172,202,133,226,260,375,227,139,188,147
"SRR8068028",149,91,29,161,185,80,164,177,154,212,120,71,23
"SRR8068029",94,87,397,176,224,70,147,148,150,244,114,102,65
"SRR8068030",379,47,524,194,266,142,257,239,304,246,131,270,122
"SRR8068031",344,86,136,122,268,124,190,159,382,219,154,125,108
"SRR8068032",203,91,380,197,211,84,220,230,213,265,106,150,11
"SRR8068043",51,72,468,160,164,63,225,209,186,297,160,97,76
"SRR8068047",336,78,176,177,195,142,225,301,350,265,110,223,142
"SRR8068050",54,74,484,182,161,70,223,212,172,318,162,82,65
"SRR8068052",84,116,503,174,153,89,186,254,236,264,151,81,84
"SRR8068060",364,84,517,214,219,158,305,278,217,310,160,178,298
"SRR8697264",284,111,701,214,193,126,184,211,473,298,154,83,312
"SRR8697280",85,71,407,154,197,59,231,205,146,277,172,103,81
