Location                     : 250825_gatk_ChrI_nomtd_dip.vcf.gz
Failed Filters               : 9066
Passed Filters               : 30065

Sample Name: ERR1938055
SNPs                         : 7582
MNPs                         : 0
Insertions                   : 0
Deletions                    : 0
Indels                       : 0
Same as reference            : 21957
Missing Genotype             : 432
Partial Genotype             : 94
Phased Genotypes             : 9.9% (2938/29633)
SNP Transitions/Transversions: 1.67 (9293/5577)
Total Het/Hom ratio          : 0.04 (318/7358)
SNP Het/Hom ratio            : 0.04 (297/7285)
MNP Het/Hom ratio            : - (0/0)
Insertion Het/Hom ratio      : - (0/0)
Deletion Het/Hom ratio       : - (0/0)
Indel Het/Hom ratio          : - (0/0)
Insertion/Deletion ratio     : - (0/0)
Indel/SNP+MNP ratio          : 0.00 (0/7582)

Sample Name: ERR1938056
SNPs                         : 171
MNPs                         : 0
Insertions                   : 0
Deletions                    : 0
Indels                       : 0
Same as reference            : 29889
Missing Genotype             : 2
Partial Genotype             : 3
Phased Genotypes             : 0.3% (81/30063)
SNP Transitions/Transversions: 1.67 (144/86)
Total Het/Hom ratio          : 1.90 (114/60)
SNP Het/Hom ratio            : 1.90 (112/59)
MNP Het/Hom ratio            : - (0/0)
Insertion Het/Hom ratio      : - (0/0)
Deletion Het/Hom ratio       : - (0/0)
Indel Het/Hom ratio          : - (0/0)
Insertion/Deletion ratio     : - (0/0)
Indel/SNP+MNP ratio          : 0.00 (0/171)

Sample Name: ERR1938057
SNPs                         : 6299
MNPs                         : 0
Insertions                   : 0
Deletions                    : 0
Indels                       : 0
Same as reference            : 23550
Missing Genotype             : 138
Partial Genotype             : 78
Phased Genotypes             : 8.5% (2547/29927)
SNP Transitions/Transversions: 1.68 (7774/4623)
Total Het/Hom ratio          : 0.03 (208/6169)
SNP Het/Hom ratio            : 0.03 (202/6097)
MNP Het/Hom ratio            : - (0/0)
Insertion Het/Hom ratio      : - (0/0)
Deletion Het/Hom ratio       : - (0/0)
Indel Het/Hom ratio          : - (0/0)
Insertion/Deletion ratio     : - (0/0)
Indel/SNP+MNP ratio          : 0.00 (0/6299)

Sample Name: ERR1938058
SNPs                         : 5758
MNPs                         : 0
Insertions                   : 0
Deletions                    : 0
Indels                       : 0
Same as reference            : 24048
Missing Genotype             : 180
Partial Genotype             : 79
Phased Genotypes             : 7.6% (2277/29885)
SNP Transitions/Transversions: 1.66 (7070/4268)
Total Het/Hom ratio          : 0.03 (185/5652)
SNP Het/Hom ratio            : 0.03 (180/5578)
MNP Het/Hom ratio            : - (0/0)
Insertion Het/Hom ratio      : - (0/0)
Deletion Het/Hom ratio       : - (0/0)
Indel Het/Hom ratio          : - (0/0)
Insertion/Deletion ratio     : - (0/0)
Indel/SNP+MNP ratio          : 0.00 (0/5758)

Sample Name: ERR1938059
SNPs                         : 87
MNPs                         : 0
Insertions                   : 0
Deletions                    : 0
Indels                       : 0
Same as reference            : 29973
Missing Genotype             : 1
Partial Genotype             : 4
Phased Genotypes             : 0.2% (61/30064)
SNP Transitions/Transversions: 1.38 (51/37)
Total Het/Hom ratio          : 90.00 (90/1)
SNP Het/Hom ratio            : 86.00 (86/1)
MNP Het/Hom ratio            : - (0/0)
Insertion Het/Hom ratio      : - (0/0)
Deletion Het/Hom ratio       : - (0/0)
Indel Het/Hom ratio          : - (0/0)
Insertion/Deletion ratio     : - (0/0)
Indel/SNP+MNP ratio          : 0.00 (0/87)

Sample Name: ERR1938060
SNPs                         : 7933
MNPs                         : 0
Insertions                   : 0
Deletions                    : 0
Indels                       : 0
Same as reference            : 21542
Missing Genotype             : 486
Partial Genotype             : 104
Phased Genotypes             : 11.4% (3361/29579)
SNP Transitions/Transversions: 1.68 (9722/5792)
Total Het/Hom ratio          : 0.05 (368/7669)
SNP Het/Hom ratio            : 0.05 (359/7574)
MNP Het/Hom ratio            : - (0/0)
Insertion Het/Hom ratio      : - (0/0)
Deletion Het/Hom ratio       : - (0/0)
Indel Het/Hom ratio          : - (0/0)
Insertion/Deletion ratio     : - (0/0)
Indel/SNP+MNP ratio          : 0.00 (0/7933)

Sample Name: ERR1938061
SNPs                         : 7523
MNPs                         : 0
Insertions                   : 0
Deletions                    : 0
Indels                       : 0
Same as reference            : 20744
Missing Genotype             : 1713
Partial Genotype             : 85
Phased Genotypes             : 10.8% (3050/28352)
SNP Transitions/Transversions: 1.65 (9143/5542)
Total Het/Hom ratio          : 0.05 (388/7220)
SNP Het/Hom ratio            : 0.05 (365/7158)
MNP Het/Hom ratio            : - (0/0)
Insertion Het/Hom ratio      : - (0/0)
Deletion Het/Hom ratio       : - (0/0)
Indel Het/Hom ratio          : - (0/0)
Insertion/Deletion ratio     : - (0/0)
Indel/SNP+MNP ratio          : 0.00 (0/7523)

Sample Name: ERR1938062
SNPs                         : 5486
MNPs                         : 0
Insertions                   : 0
Deletions                    : 0
Indels                       : 0
Same as reference            : 24406
Missing Genotype             : 121
Partial Genotype             : 52
Phased Genotypes             : 6.8% (2043/29944)
SNP Transitions/Transversions: 1.72 (6841/3966)
Total Het/Hom ratio          : 0.03 (172/5366)
SNP Het/Hom ratio            : 0.03 (167/5319)
MNP Het/Hom ratio            : - (0/0)
Insertion Het/Hom ratio      : - (0/0)
Deletion Het/Hom ratio       : - (0/0)
Indel Het/Hom ratio          : - (0/0)
Insertion/Deletion ratio     : - (0/0)
Indel/SNP+MNP ratio          : 0.00 (0/5486)

Sample Name: ERR1938063
SNPs                         : 163
MNPs                         : 0
Insertions                   : 0
Deletions                    : 0
Indels                       : 0
Same as reference            : 29890
Missing Genotype             : 5
Partial Genotype             : 7
Phased Genotypes             : 0.3% (90/30060)
SNP Transitions/Transversions: 1.60 (133/83)
Total Het/Hom ratio          : 2.09 (115/55)
SNP Het/Hom ratio            : 2.08 (110/53)
MNP Het/Hom ratio            : - (0/0)
Insertion Het/Hom ratio      : - (0/0)
Deletion Het/Hom ratio       : - (0/0)
Indel Het/Hom ratio          : - (0/0)
Insertion/Deletion ratio     : - (0/0)
Indel/SNP+MNP ratio          : 0.00 (0/163)

Sample Name: ERR1938066
SNPs                         : 6216
MNPs                         : 0
Insertions                   : 0
Deletions                    : 0
Indels                       : 0
Same as reference            : 23644
Missing Genotype             : 137
Partial Genotype             : 68
Phased Genotypes             : 8.4% (2510/29928)
SNP Transitions/Transversions: 1.64 (7607/4644)
Total Het/Hom ratio          : 0.03 (191/6093)
SNP Het/Hom ratio            : 0.03 (184/6032)
MNP Het/Hom ratio            : - (0/0)
Insertion Het/Hom ratio      : - (0/0)
Deletion Het/Hom ratio       : - (0/0)
Indel Het/Hom ratio          : - (0/0)
Insertion/Deletion ratio     : - (0/0)
Indel/SNP+MNP ratio          : 0.00 (0/6216)

Sample Name: SRR10725597
SNPs                         : 5513
MNPs                         : 0
Insertions                   : 0
Deletions                    : 0
Indels                       : 0
Same as reference            : 24396
Missing Genotype             : 105
Partial Genotype             : 51
Phased Genotypes             : 6.8% (2034/29960)
SNP Transitions/Transversions: 1.73 (6891/3989)
Total Het/Hom ratio          : 0.03 (153/5411)
SNP Het/Hom ratio            : 0.03 (148/5365)
MNP Het/Hom ratio            : - (0/0)
Insertion Het/Hom ratio      : - (0/0)
Deletion Het/Hom ratio       : - (0/0)
Indel Het/Hom ratio          : - (0/0)
Insertion/Deletion ratio     : - (0/0)
