"Sample","ChrA","ChrB","ChrC","ChrD","ChrE","ChrF","ChrG","ChrH","ChrI","ChrJ","ChrK","ChrL","ChrM"
"ERR1938051",3409,3149,5024,4148,4523,6205,6427,6823,7882,7558,8032,9033,8738
"ERR1938052",2771,2535,3479,3323,3240,4669,5481,5313,6288,6256,6459,5275,6849
"ERR1938054",3551,3167,4528,3990,4639,5782,6130,6291,7906,7130,7812,8809,7835
"ERR1938055",3558,3149,4976,4145,4190,6324,6103,6181,7775,7115,8108,9362,8638
"ERR1938056",31,44,89,38,94,85,83,86,63,82,110,99,82
"ERR1938057",3113,2364,3124,3407,3212,4272,4948,4570,6396,5006,6746,5466,6150
"ERR1938059",7,18,11,11,14,10,10,37,3,19,13,3,4
"ERR1938062",3374,2480,3308,3360,3524,4022,4870,5023,5431,5131,6552,6069,6764
"ERR1938064",3296,2569,3537,3506,3761,4372,4295,4633,6670,5942,5854,5716,6535
"ERR1938069",3966,3251,4718,4136,4628,6262,6246,6318,8353,7277,8008,9094,8717
"ERR1938072",3399,3142,5243,4157,4501,6175,6437,6857,7943,7569,8055,9122,8747
"ERR1938083",3347,2337,3443,3188,3379,4287,5054,4844,6271,5140,5743,5515,6023
"ERR1938084",3420,3172,5239,4169,4523,6233,6463,6858,8014,7602,8069,9098,8787
"ERR1938086",3144,2377,3149,3416,3220,4288,4972,4599,6453,5040,6838,5545,6166
"ERR4669757",3514,3151,5024,4140,4186,6318,6104,6192,7862,7132,8120,9370,8682
"HSC003",3858,3314,4953,4225,5077,6388,6361,6432,8498,7482,8081,9429,8696
"HSC005",3607,3055,4964,4016,4515,6365,6030,6251,7449,7470,7668,9007,7775
"HSC017",3715,3116,5680,4370,4478,6193,6309,6290,7883,7392,8708,8932,8612
"HSC024",3711,3113,5683,4358,4499,6179,6329,6275,7984,7448,8713,8897,8582
"HSC027",4114,3324,4806,4201,4715,6362,6348,6409,8656,7450,8114,9262,8821
"HSC031",3195,2408,3219,3464,3264,4325,5059,4670,6591,5086,6945,5578,6292
"HSC045",4052,3124,5682,4372,4511,6172,6307,6298,7963,7371,8718,8925,8607
"HSC052",3666,3270,4672,4125,4859,5943,6261,6483,8312,7306,7974,9020,7983
"HSC053",3622,3064,4987,4027,4477,6378,6035,6258,7429,7484,7667,9019,7737
"HSC066",3656,3256,4675,4132,4862,5929,6262,6474,8288,7320,7987,8988,7997
"HSC071",3659,3262,4891,4115,4865,5915,6258,6445,8271,7318,7971,9018,7986
"HSC072",3667,3234,4675,4109,4876,5942,6268,6459,8297,7297,7978,9013,7968
"HSC073",3222,2406,3197,3456,3272,4325,5070,4669,6589,5107,6928,5598,6274
"HSC075",3676,3247,4688,4116,4863,5890,6269,6451,8258,7296,7975,9004,7977
"HSC086",4143,3324,4848,4203,4839,6344,6311,6414,8561,7439,8121,9229,8857
"HSC096",3668,3251,4713,4116,4881,5942,6272,6444,8301,7296,7975,9030,7976
"HSC101",3010,2118,3390,3150,3336,4466,4705,4664,6033,5506,6502,5749,5866
"HSC103",3024,2132,3372,3158,3327,4467,4702,4658,6007,5513,6497,5743,5850
"SRR10725598",4187,3360,4892,4188,4841,6397,6360,6449,8734,7607,8128,9319,8935
"SRR5239767",3531,2376,3541,3245,3425,4339,5145,4984,6442,5132,5797,5604,6047
"SRR5239770",3502,3219,5398,4203,4272,6278,6534,6893,8173,7764,8171,9180,8760
"SRR5239772",3496,3200,5522,4201,4701,6285,6537,6941,8157,7789,8165,9281,8806
"SRR8068014",3751,3243,5398,4234,5111,5950,6434,6678,8082,7244,7723,9230,8632
"SRR8068015",3701,3115,5636,4365,4527,6198,6319,6275,7953,7405,8675,8909,8593
"SRR8068018",3769,3234,4077,4305,5145,6183,6585,6464,7984,7427,8014,9056,8260
"SRR8068021",4094,3165,4113,4151,5185,6065,6505,6436,8191,7178,8084,9076,8348
"SRR8068022",3567,3066,5034,4000,4507,6331,6021,6223,7408,7450,7669,8968,7711
"SRR8068025",3712,3168,4727,4096,4680,6126,6268,6467,8084,7245,7584,9188,8343
"SRR8068031",3383,2948,5204,3919,4289,6091,6236,6244,7736,7244,8088,9254,8506
"SRR8068032",2458,2494,3465,3326,3350,4741,4753,5039,5259,5558,6345,5292,6227
"SRR8068043",2776,2402,3479,3561,3127,4000,4871,4806,6436,5329,6343,6618,6397
"SRR8068047",3633,3084,5682,4335,4491,6159,6289,6232,7907,7358,8648,8851,8537
"SRR8068050",2760,2396,3476,3562,3128,4003,4881,4810,6482,5353,6346,6585,6417
"SRR8068051",3403,2513,3383,3373,3575,4059,4929,5073,5530,5181,6596,6106,6861
"SRR8068052",3569,2483,3290,3960,3676,4512,5505,5229,6168,5726,6273,7148,6964
"SRR8068060",3700,3140,4712,4093,4700,6116,6259,6476,8011,7252,7562,9136,8346
"SRR8697280",3567,2539,3459,3407,3730,4099,5013,5102,5657,5222,6618,6164,6915
"SRR8697288",3510,3225,5671,4219,4695,6273,6559,7007,8254,7742,8173,9344,8884
"SRR8697318",3706,3090,5183,4036,4510,6372,6070,6328,7496,7517,7719,9097,7755
"SRR8697447",3814,3136,5846,4384,4649,6207,6366,6348,7896,7541,8812,8991,8678
"SRR8697497",3267,2414,3263,3463,3285,4345,5128,4735,6683,5129,7009,5669,6318
